timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
519039526,519039526,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519099819,519099819,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519139880,519139880,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519199512,519199512,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519259850,519259850,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519299809,519299809,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519359604,519359604,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519399567,519399567,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519459957,519459957,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519519733,519519733,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519559852,519559852,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519620245,519620245,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519679917,519679917,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519720005,519720005,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519780281,519780281,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519820315,519820315,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519880309,519880309,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519920245,519920245,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
519980520,519980520,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520040365,520040365,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520080523,520080523,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520140653,520140653,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520180677,520180677,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520240498,520240498,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520280516,520280516,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520340895,520340895,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
520400641,520400641,18,42,0,0,0,1514,1514,1102,1927,1514,1550,1100,874,874,1100,874,874,874,874,874,1100,998,998,0,0,4
