timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
519050071,15800481,30.6571691,-84.20851950000001,0.35555527,0.25863487,-3.4276783,0.0013574644,-0.0026631723,0.0,-0.016273424,0.026891064,0.0017518878,0.007417031,0.01501895,-0.009971928,0.07579388,-0.009476976,0.018232666,0.008957017,0.41541156,64.34459,0.104599,-0.0017518878,0.1970311,0.61437774,0.120326996,0.12998596,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519153267,15800481,30.6571691,-84.20851950000001,0.35621938,0.25884745,-3.4261272,0.0013574644,-0.0026631723,0.0,-0.015747659,0.026965775,0.0021238108,0.00858418,0.01501895,-0.009971928,0.07579388,-0.010289339,0.006737656,-0.014394862,0.41534114,64.34459,0.103340864,-0.0021238108,0.19741304,0.6144748,0.12051743,0.13005933,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519257274,15800481,30.6571691,-84.20851950000001,0.3567598,0.25892788,-3.4254045,0.0013574644,-0.0026631723,0.0,-0.016567187,0.0266606,0.0017687362,0.008112679,0.01501895,-0.009971928,0.07579388,-0.006543332,0.010507231,-0.0054235253,0.41534093,64.34459,0.101195574,-0.0017687362,0.19776657,0.6145688,0.12068677,0.13012949,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519361271,15800481,30.6571691,-84.20851950000001,0.35722703,0.25869918,-3.424673,0.0013574644,-0.0026631723,0.0,-0.016328225,0.025771031,0.00081270223,0.007134255,0.01501895,-0.009971928,0.07579388,0.0003338692,0.0136927385,0.017146066,0.41549215,64.34459,0.10205603,-0.00081270223,0.19807807,0.614608,0.12083584,0.1301979,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519457271,15800481,30.6571691,-84.20851950000001,0.3578836,0.25802815,-3.423853,0.0013574644,-0.0026631723,0.0,-0.016454274,0.024918761,0.0002086547,0.006727329,0.01501895,-0.009971928,0.07579388,-0.008461155,0.021775382,0.011251184,0.4154737,64.34459,0.10288167,-0.0002086547,0.19771384,0.614114,0.12067257,0.13009202,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519560468,15800481,30.6571691,-84.20851950000001,0.3588419,0.25726667,-3.4230437,0.0013574644,-0.0026631723,0.0,-0.015884044,0.024227317,-0.00032594055,0.0063210665,0.01501895,-0.009971928,0.07579388,-0.025028624,-0.02186658,-0.0046849707,0.4150436,64.34459,0.10344982,0.00032594055,0.18934523,0.6101276,0.11674196,0.12817566,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519664468,15800481,30.6571691,-84.20851950000001,0.3595922,0.25680375,-3.4221668,0.0013574644,-0.0026631723,0.0,-0.015922751,0.023770763,-3.1159376e-05,0.006847323,0.01501895,-0.009971928,0.07579388,-0.0022969593,0.041990988,-0.0075232866,0.41565216,64.34459,0.10268521,3.1159376e-05,0.19844908,0.61313844,0.12104029,0.13016711,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519760478,15800481,30.6571691,-84.20851950000001,0.3607838,0.2559082,-3.4217906,0.0013574644,-0.0026631723,0.0,-0.016228057,0.023273796,0.00039980357,0.006981894,0.01501895,-0.009971928,0.07579388,-0.025378877,-0.00017157913,-0.021281132,0.41530952,64.34459,0.10100794,-0.00039980357,0.19805622,0.6126733,0.12085674,0.13006462,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519863668,15800481,30.6571691,-84.20851950000001,0.36241004,0.25490522,-3.4194078,0.0013574644,-0.0026631723,0.0,-0.014056869,0.022404255,0.0011837787,0.009351052,0.01501895,-0.009971928,0.07579388,-0.0027952944,-0.0026013823,-0.009204363,0.4154214,64.34459,0.10395527,-0.0011837787,0.18962117,0.60986924,0.11687823,0.12822956,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
519967670,15800481,30.6571691,-84.20851950000001,0.3640345,0.25433654,-3.4174016,0.0013574644,-0.0026631723,0.0,-0.013710949,0.023028558,0.0028090854,0.011888749,0.01501895,-0.009971928,0.07579388,0.030602895,0.08719167,0.031119637,0.41562337,64.34459,0.10457277,-0.0028090854,0.18996644,0.60888356,0.11704437,0.12823533,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
520071668,15800481,30.6571691,-84.20851950000001,0.3656652,0.25411445,-3.4152267,0.0013574644,-0.0026631723,0.0,-0.013476519,0.02274311,0.0028449567,0.012796159,0.01501895,-0.009971928,0.07579388,-0.100359194,0.0010731954,-0.0007765468,0.41518328,64.34459,0.10446215,-0.0028449567,0.19027123,0.6089789,0.117194325,0.1283172,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
