timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
12220725,0.0,-0.0,0.41820768,0.0,0.97821736,0.0,0.0,0.20758334,0.0,0.0,-0.083551444,1,0,0,0,0,0
521805506,0.0,0.0,0.41609836,0.0,0.9784357,0.0,0.0,0.20655154,0.0,0.0,-0.0,1,0,0,0,0,0
521903277,0.0,0.0,0.41719493,0.0,0.9783223,0.0,0.0,0.20708798,0.0,0.0,-0.0,1,0,0,0,0,0
522003417,0.0,0.0,0.41680583,0.0,0.9783626,0.0,0.0,0.20689763,0.0,0.0,-0.0,1,0,0,0,0,0
522103610,0.0,0.0,0.41616887,0.0,0.9784285,0.0,0.0,0.20658603,0.0,0.0,-0.0,1,0,0,0,0,0
522203731,0.0,0.0,0.4172094,0.0,0.97832084,0.0,0.0,0.20709504,0.0,0.0,-0.0,1,0,0,0,0,0
522303789,0.0,0.0,0.4163558,0.0,0.9784092,0.0,0.0,0.20667748,0.0,0.0,-0.0,1,0,0,0,0,0
522403864,0.0,0.0,0.41654804,0.0,0.97838926,0.0,0.0,0.20677152,0.0,0.0,-0.0,1,0,0,0,0,0
522503875,0.0,0.0,0.4167315,0.0,0.9783703,0.0,0.0,0.2068613,0.0,0.0,-0.0,1,0,0,0,0,0
522604253,0.0,0.0,0.4162675,0.0,0.97841823,0.0,0.0,0.2066343,0.0,0.0,-0.0,1,0,0,0,0,0
522704039,0.0,0.0,0.41653532,0.0,0.9783906,0.0,0.0,0.20676534,0.0,0.0,-0.0,1,0,0,0,0,0
522804248,0.0,0.0,0.4163619,0.0,0.9784085,0.0,0.0,0.20668048,0.0,0.0,-0.0,1,0,0,0,0,0
522924487,0.0,0.0,0.416366,0.0,0.9784081,0.0,0.0,0.20668249,0.0,0.0,-0.0,1,0,0,0,0,0
523024403,0.0,0.0,0.41648462,0.0,0.9783958,0.0,0.0,0.2067405,0.0,0.0,-0.0,1,0,0,0,0,0
523124638,0.0,0.0,0.41639063,0.0,0.97840554,0.0,0.0,0.20669456,0.0,0.0,-0.0,1,0,0,0,0,0
523225139,0.0,0.0,0.41646624,0.0,0.9783977,0.0,0.0,0.2067315,0.0,0.0,-0.0,1,0,0,0,0,0
523325129,0.0,0.0,0.41633964,0.0,0.9784108,0.0,0.0,0.20666958,0.0,0.0,-0.0,1,0,0,0,0,0
523425189,0.0,0.0,0.41641247,0.0,0.9784033,0.0,0.0,0.2067052,0.0,0.0,-0.0,1,0,0,0,0,0
523525063,0.0,0.0,0.41621873,0.0,0.9784233,0.0,0.0,0.20661043,0.0,0.0,-0.0,1,0,0,0,0,0
523625686,0.0,0.0,0.41633618,0.0,0.97841114,0.0,0.0,0.2066679,0.0,0.0,-0.0,1,0,0,0,0,0
523725167,0.0,0.0,0.41624707,0.0,0.9784204,0.0,0.0,0.20662433,0.0,0.0,-0.0,1,0,0,0,0,0
523825504,0.0,0.0,0.4161169,0.0,0.9784338,0.0,0.0,0.20656064,0.0,0.0,-0.0,1,0,0,0,0,0
523925455,0.0,0.0,0.41621873,0.0,0.9784233,0.0,0.0,0.20661043,0.0,0.0,-0.0,1,0,0,0,0,0
524025470,0.0,0.0,0.4163166,0.0,0.97841316,0.0,0.0,0.20665832,0.0,0.0,-0.0,1,0,0,0,0,0
524125580,0.0,0.0,0.4162288,0.0,0.9784222,0.0,0.0,0.20661536,0.0,0.0,-0.0,1,0,0,0,0,0
524225730,0.0,0.0,0.41615912,0.0,0.97842944,0.0,0.0,0.20658126,0.0,0.0,-0.0,1,0,0,0,0,0
524345689,0.0,0.0,0.41631472,0.0,0.9784134,0.0,0.0,0.20665738,0.0,0.0,-0.0,1,0,0,0,0,0
524445946,0.0,0.0,0.416169,0.0,0.9784284,0.0,0.0,0.2065861,0.0,0.0,-0.0,1,0,0,0,0,0
524545972,0.0,0.0,0.41637853,0.0,0.9784068,0.0,0.0,0.20668861,0.0,0.0,-0.0,1,0,0,0,0,0
524646224,0.0,0.0,0.41630372,0.0,0.9784145,0.0,0.0,0.20665202,0.0,0.0,-0.0,1,0,0,0,0,0
524746241,0.0,0.0,0.41615236,0.0,0.97843015,0.0,0.0,0.206578,0.0,0.0,-0.0,1,0,0,0,0,0
524846303,0.0,0.0,0.41641605,0.0,0.9784029,0.0,0.0,0.20670697,0.0,0.0,-0.0,1,0,0,0,0,0
524946624,0.0,0.0,0.4160247,0.0,0.9784433,0.0,0.0,0.2065155,0.0,0.0,-0.0,1,0,0,0,0,0
525046512,0.0,0.0,0.41605055,0.0,0.97844064,0.0,0.0,0.20652816,0.0,0.0,-0.0,1,0,0,0,0,0
525146532,0.0,0.0,0.4162322,0.0,0.9784219,0.0,0.0,0.20661701,0.0,0.0,-0.0,1,0,0,0,0,0
525246672,0.0,0.0,0.41574717,0.0,0.978472,0.0,0.0,0.20637971,0.0,0.0,-0.0,1,0,0,0,0,0
525347179,0.0,0.0,0.4163469,0.0,0.97841007,0.0,0.0,0.20667316,0.0,0.0,-0.0,1,0,0,0,0,0
525467138,0.0,0.0,0.41589236,0.0,0.978457,0.0,0.0,0.20645078,0.0,0.0,-0.0,1,0,0,0,0,0
525567096,0.0,0.0,0.41584933,0.0,0.97846144,0.0,0.0,0.20642972,0.0,0.0,-0.0,1,0,0,0,0,0
525667097,0.0,0.0,0.41598585,0.0,0.9784473,0.0,0.0,0.20649649,0.0,0.0,-0.0,1,0,0,0,0,0
525767615,-0.0018260782,0.010294124,0.41590878,0.0,0.978441,-0.0019560067,0.0048476425,0.20646058,0.0,0.0,-0.120006554,1,0,0,0,0,0
525867730,-0.0063917697,-0.009200963,0.41590878,0.0,0.978443,-0.00217719,-0.005161137,0.20644118,0.0,0.0,-0.12000753,1,0,0,0,0,0
