timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
519054292,-0.00047797477,0.0005792114,0.00084834034,0.0,0.0,0.0,0.0
519086281,0.00054432265,0.0007701537,-0.0003870679,0.0,0.0,0.0,0.0
519118379,0.0011057556,-0.00021988087,-0.00045923563,0.0,0.0,0.0,0.0
519149562,-2.1407148e-05,0.00045774813,-0.0010290504,0.0,0.0,0.0,0.0
519181489,0.00032034353,0.00024679897,0.00022247434,0.0,0.0,0.0,0.0
519213517,0.00037376233,0.00018473488,0.00082283653,0.0,0.0,0.0,0.0
519245534,0.00014707004,-0.0007219758,-0.0018704918,0.0,0.0,0.0,0.0
519277563,-0.00058360724,0.00023337505,-0.0028870057,0.0,0.0,0.0,0.0
519309488,-0.00019580475,0.00013038209,-0.00012917398,0.0,0.0,0.0,0.0
519337580,0.00087316055,0.000110635505,0.003310876,0.0,0.0,0.0,0.0
519369498,0.0007970976,-0.0004177036,0.0039931643,0.0,0.0,0.0,0.0
519401553,0.00010147272,-8.4975036e-05,0.0014338428,0.0,0.0,0.0,0.0
519433529,0.0007998978,0.0010713356,-0.0018334487,0.0,0.0,0.0,0.0
519465583,5.329051e-05,-0.0008415654,-0.005178112,0.0,0.0,0.0,0.0
519496676,-0.0010824183,0.00010304159,-0.005972761,0.0,0.0,0.0,0.0
519528728,-0.0012223066,-0.00034103275,-0.0050278935,0.0,0.0,0.0,0.0
519560769,0.0018195934,-0.00044894265,-0.0010422291,0.0,0.0,0.0,0.0
519592709,-0.00042604376,0.00031557563,0.00525011,0.0,0.0,0.0,0.0
519620772,0.0017786237,0.00069461484,0.0066011394,0.0,0.0,0.0,0.0
519652690,0.00018793135,-0.00082870864,0.006397279,0.0,0.0,0.0,0.0
519684706,-0.00062291767,0.0010201436,-0.00011687912,0.0,0.0,0.0,0.0
519716715,0.000247475,-0.000705286,-0.0027266901,0.0,0.0,0.0,0.0
519748716,-0.0013528082,-0.00024258911,-0.0058124484,0.0,0.0,0.0,0.0
519780765,-1.86502e-05,1.46310485e-05,-0.0054611764,0.0,0.0,0.0,0.0
519812676,0.000719788,0.00018600948,-0.0014123973,0.0,0.0,0.0,0.0
519844774,0.0015653082,0.00037954803,0.003947992,0.0,0.0,0.0,0.0
519875873,0.0003581671,-7.079348e-05,0.0064384053,0.0,0.0,0.0,0.0
519907887,0.0010402477,0.0005735855,0.0047405856,0.0,0.0,0.0,0.0
519935930,0.000842568,-0.0006673039,0.0013163686,0.0,0.0,0.0,0.0
519967886,0.00042514736,-0.0003826285,-0.0035552245,0.0,0.0,0.0,0.0
520000013,0.0002526394,-0.00070643413,-0.0051317974,0.0,0.0,0.0,0.0
520031922,9.499025e-06,-0.0010086525,-0.0043207537,0.0,0.0,0.0,0.0
520067887,0.0009562569,-0.00077441975,-0.0032840732,0.0,0.0,0.0,0.0
520099990,0.0012239658,-0.00051350944,0.00023190724,0.0,0.0,0.0,0.0
