timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
519054353,-0.043056104,-0.044634506,-0.78305465,0.0,0.0,0.0
519086386,-0.043076556,-0.04465679,-0.7829967,0.0,0.0,0.0
519118437,-0.043103054,-0.044641722,-0.78296274,0.0,0.0,0.0
519149622,-0.043071248,-0.044655945,-0.7829034,0.0,0.0,0.0
519181554,-0.04307227,-0.04469029,-0.78296363,0.0,0.0,0.0
519213578,-0.0430752,-0.044664193,-0.783017,0.0,0.0,0.0
519245601,-0.043079868,-0.044618987,-0.7829558,0.0,0.0,0.0
519277621,-0.04305395,-0.044625603,-0.78284234,0.0,0.0,0.0
519309546,-0.043007903,-0.044624165,-0.7828057,0.0,0.0,0.0
519337639,-0.04302609,-0.04464444,-0.7829667,0.0,0.0,0.0
519369553,-0.043017287,-0.044603486,-0.78322244,0.0,0.0,0.0
519401618,-0.04300094,-0.0445883,-0.7833659,0.0,0.0,0.0
519433587,-0.04301471,-0.04462231,-0.78334075,0.0,0.0,0.0
519465644,-0.04301509,-0.044600796,-0.7831333,0.0,0.0,0.0
519496734,-0.042922165,-0.044545885,-0.78275925,0.0,0.0,0.0
519528783,-0.042824376,-0.044487916,-0.7824591,0.0,0.0,0.0
519560824,-0.042849604,-0.044468462,-0.78236663,0.0,0.0,0.0
519592767,-0.042825606,-0.04449911,-0.78261703,0.0,0.0,0.0
519620871,-0.04286515,-0.044523947,-0.78296185,0.0,0.0,0.0
519652750,-0.042917773,-0.04448807,-0.78338283,0.0,0.0,0.0
519684770,-0.042856775,-0.044534832,-0.7835153,0.0,0.0,0.0
519716776,-0.042839263,-0.044499166,-0.7833966,0.0,0.0,0.0
519748785,-0.042772356,-0.04446523,-0.7831054,0.0,0.0,0.0
519780854,-0.04269428,-0.044442993,-0.78273547,0.0,0.0,0.0
519812738,-0.042718753,-0.04445444,-0.782624,0.0,0.0,0.0
519844841,-0.042746976,-0.044458393,-0.782824,0.0,0.0,0.0
519876012,-0.042778283,-0.044458795,-0.78317547,0.0,0.0,0.0
519907948,-0.04278403,-0.044494756,-0.7834937,0.0,0.0,0.0
519936036,-0.042829722,-0.044458732,-0.7836305,0.0,0.0,0.0
519967948,-0.042880207,-0.044384282,-0.78349024,0.0,0.0,0.0
520000071,-0.04285612,-0.044323303,-0.7832084,0.0,0.0,0.0
520031981,-0.04285933,-0.044275932,-0.78289515,0.0,0.0,0.0
520067953,-0.042896684,-0.04420747,-0.78265697,0.0,0.0,0.0
520100048,-0.042942565,-0.044177596,-0.78264016,0.0,0.0,0.0
520132005,-0.042991053,-0.04420494,-0.7827125,0.0,0.0,0.0
520160037,-0.04297838,-0.04423459,-0.7827638,0.0,0.0,0.0
520191931,-0.043026865,-0.044233244,-0.78279454,0.0,0.0,0.0
520223934,-0.04298599,-0.044200826,-0.78282815,0.0,0.0,0.0
520255208,-0.04304431,-0.044325624,-0.7829564,0.0,0.0,0.0
520287267,-0.042968012,-0.044408184,-0.7832398,0.0,0.0,0.0
520319205,-0.043005027,-0.044471566,-0.7836708,0.0,0.0,0.0
520351172,-0.043202322,-0.04455819,-0.7840617,0.0,0.0,0.0
520383218,-0.043341845,-0.04469348,-0.7841464,0.0,0.0,0.0
520415198,-0.04339593,-0.044690266,-0.7837861,0.0,0.0,0.0
520447310,-0.04318658,-0.04450827,-0.7829711,0.0,0.0,0.0
520479138,-0.042932983,-0.044315044,-0.78188974,0.0,0.0,0.0
520511169,-0.042843074,-0.044213325,-0.78121936,0.0,0.0,0.0
520543197,-0.04292801,-0.044086337,-0.7814077,0.0,0.0,0.0
520575170,-0.043157317,-0.044034813,-0.78279746,0.0,0.0,0.0
520607203,-0.043318797,-0.04402831,-0.78473115,0.0,0.0,0.0
520638437,-0.043404236,-0.044120573,-0.786153,0.0,0.0,0.0
520670393,-0.04335443,-0.044082914,-0.7861665,0.0,0.0,0.0
520702453,-0.043083478,-0.043872513,-0.7845568,0.0,0.0,0.0
520734362,-0.042706348,-0.043569293,-0.7818568,0.0,0.0,0.0
520766427,-0.042546164,-0.04360237,-0.7797134,0.0,0.0,0.0
520798391,-0.042647153,-0.043648425,-0.77962685,0.0,0.0,0.0
520830351,-0.042859476,-0.043723416,-0.7821551,0.0,0.0,0.0
520862449,-0.04327551,-0.04407787,-0.78560466,0.0,0.0,0.0
520894384,-0.043542784,-0.04449645,-0.78769594,0.0,0.0,0.0
520926404,-0.04339439,-0.044325758,-0.7872075,0.0,0.0,0.0
520958354,-0.042781275,-0.04409781,-0.7845656,0.0,0.0,0.0
520989559,-0.0421564,-0.043805134,-0.7814783,0.0,0.0,0.0
521021668,-0.041985262,-0.043490805,-0.77964854,0.0,0.0,0.0
521053588,-0.04252399,-0.043589246,-0.780072,0.0,0.0,0.0
521085597,-0.04349038,-0.044046678,-0.78238094,0.0,0.0,0.0
521117583,-0.044026002,-0.043882966,-0.7852806,0.0,0.0,0.0
521149644,-0.043760706,-0.04368359,-0.7872871,0.0,0.0,0.0
521181602,-0.042930692,-0.043828845,-0.7873655,0.0,0.0,0.0
521213546,-0.042174708,-0.04354434,-0.7849143,0.0,0.0,0.0
521245561,-0.04218209,-0.043316558,-0.7815876,0.0,0.0,0.0
521277572,-0.042891018,-0.04311349,-0.77965736,0.0,0.0,0.0
521309591,-0.043304328,-0.04281769,-0.7797917,0.0,0.0,0.0
521340840,-0.04311188,-0.043483827,-0.781791,0.0,0.0,0.0
521372776,-0.043486018,-0.04396636,-0.7851371,0.0,0.0,0.0
521404884,-0.04299636,-0.04393593,-0.7871159,0.0,0.0,0.0
521436741,-0.04278756,-0.043911107,-0.7873972,0.0,0.0,0.0
521468749,-0.043374598,-0.043929465,-0.7868791,0.0,0.0,0.0
521496760,-0.043228123,-0.04405106,-0.78584075,0.0,0.0,0.0
521528763,-0.042481005,-0.043979254,-0.7843509,0.0,0.0,0.0
521560825,-0.042488124,-0.043236703,-0.7852373,0.0,0.0,0.0
521592812,-0.0426916,-0.043059293,-0.7847588,0.0,0.0,0.0
521624795,-0.04270818,-0.042119205,-0.78657687,0.0,0.0,0.0
