timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
519054153,519054068,-0.006202801,-0.006854073,-0.19592938,-0.0,0.0,0.0,0.0,-1.0
519106149,519106068,-0.0064600334,-0.0065530785,-0.1955618,-0.0,0.0,0.0,0.0,-1.0
519157345,519157268,-0.0065934323,-0.006763378,-0.1957224,-0.0,0.0,0.0,0.0,-1.0
519209362,519209276,-0.0066762697,-0.0067032515,-0.19594008,-0.0,0.0,0.0,0.0,-1.0
519261370,519261291,-0.006557467,-0.0068781883,-0.19540316,-0.0,0.0,0.0,0.0,-1.0
519313384,519313308,-0.0065026055,-0.0067386474,-0.19577883,-0.0,0.0,0.0,0.0,-1.0
519365353,519365271,-0.006618322,-0.0064761965,-0.196695,-0.0,0.0,0.0,0.0,-1.0
519417359,519417281,-0.0066827466,-0.006690961,-0.19589388,-0.0,0.0,0.0,0.0,-1.0
519468617,519468504,-0.0062699933,-0.006160425,-0.19461009,-0.0,0.0,0.0,0.0,-1.0
519520544,519520468,-0.006245462,-0.0063619185,-0.19461364,-0.0,0.0,0.0,0.0,-1.0
519572567,519572468,-0.0069713155,-0.0069310847,-0.19581631,-0.0,0.0,0.0,0.0,-1.0
519624557,519624481,-0.007201939,-0.006922223,-0.19709502,-0.0,0.0,0.0,0.0,-1.0
519676603,519676468,-0.0060002897,-0.0073756,-0.19618244,-0.0,0.0,0.0,0.0,-1.0
519728555,519728475,-0.0066102063,-0.006461099,-0.19504778,-0.0,0.0,0.0,0.0,-1.0
519780585,519780506,-0.0065892204,-0.0066943914,-0.1946003,-0.0,0.0,0.0,0.0,-1.0
519832540,519832468,-0.006117065,-0.0066810003,-0.19628018,-0.0,0.0,0.0,0.0,-1.0
519883741,519883668,-0.0060942094,-0.006557475,-0.1970135,-0.0,0.0,0.0,0.0,-1.0
519935748,519935668,-0.0065601286,-0.0062389662,-0.19617191,-0.0,0.0,0.0,0.0,-1.0
519987744,519987668,-0.006253056,-0.0067077433,-0.19485968,-0.0,0.0,0.0,0.0,-1.0
520039853,520039668,-0.0066648195,-0.0064490754,-0.19501352,-0.0,0.0,0.0,0.0,-1.0
520091745,520091668,-0.006738538,-0.0063718786,-0.19554397,-0.0,0.0,0.0,0.0,-1.0
520143770,520143668,-0.006462412,-0.007074735,-0.1957661,-0.0,0.0,0.0,0.0,-1.0
520195752,520195674,-0.0065151914,-0.006857705,-0.19583651,-0.0,0.0,0.0,0.0,-1.0
520246947,520246874,-0.007060257,-0.0070834327,-0.19606158,-0.0,0.0,0.0,0.0,-1.0
520298962,520298868,-0.0067062275,-0.0066775987,-0.19716966,-0.0,0.0,0.0,0.0,-1.0
520350966,520350888,-0.0074443617,-0.0070269597,-0.19716114,-0.0,0.0,0.0,0.0,-1.0
520402970,520402867,-0.006195812,-0.0064118416,-0.1949324,-0.0,0.0,0.0,0.0,-1.0
520454961,520454883,-0.0053006965,-0.00591757,-0.19226786,-0.0,0.0,0.0,0.0,-1.0
520506941,520506868,-0.0070375605,-0.006393629,-0.19339015,-0.0,0.0,0.0,0.0,-1.0
520558956,520558878,-0.0074897045,-0.0067951074,-0.1992845,-0.0,0.0,0.0,0.0,-1.0
520610944,520610868,-0.0069615166,-0.007094086,-0.20252398,-0.0,0.0,0.0,0.0,-1.0
520662203,520662068,-0.00632234,-0.0063587767,-0.19652665,-0.0,0.0,0.0,0.0,-1.0
520714151,520714075,-0.005186156,-0.0056717703,-0.18749553,-0.0,0.0,0.0,0.0,-1.0
520766182,520766068,-0.007116717,-0.0072614593,-0.18883161,-0.0,0.0,0.0,0.0,-1.0
