timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
519050071,0.9783981,0.011283952,0.011684882,0.20609094,-0.014229883,0.024231046,0.0023368003,0.32263675,0.3375094,-3.4230793,-2.691959e-05,1.6730371e-06,4.0791223e-05,1.5071519e-06,-6.291427e-06,2.2262253e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,1.67644e-10,9.925105e-06,0.0005740499,1.7940208e-06,4.692364e-05,4.6867994e-05,3.6702964e-05,0.0072398204,0.007238766,0.016896348,0.01941098,0.019410271,0.37746,1.0100087e-11,1.0102399e-11,1.849877e-11,1.0855655e-06,1.0848313e-06,5.0000107e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.1970311,0.61437774,0.0035001305,0.011441287,0.0067565576,0.0023228996,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
519257274,0.97839355,0.011286666,0.011724962,0.20610987,-0.01432745,0.024113612,0.001162676,0.32328427,0.33802184,-3.4242089,-2.6885376e-05,1.6796587e-06,4.076666e-05,1.5000654e-06,-6.392046e-06,2.3080527e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,1.6909049e-10,1.0093169e-05,0.00052990805,1.7948698e-06,4.6926707e-05,4.6870886e-05,3.6719353e-05,0.007283201,0.007282095,0.016933681,0.01955617,0.019555446,0.37769482,1.0103901e-11,1.0106235e-11,1.850131e-11,1.0855648e-06,1.0848304e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.19776657,0.6145688,0.00033270044,0.014899222,0.0071507664,0.0026320966,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
519457271,0.97840255,0.011262189,0.011717237,0.20606898,-0.01420866,0.022430114,0.0018522794,0.32467693,0.3363471,-3.4209712,-2.6836877e-05,1.6862501e-06,4.0745777e-05,1.4621976e-06,-6.494037e-06,2.1929625e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,1.7032856e-10,9.694211e-06,0.0003992571,1.7937583e-06,4.6923284e-05,4.6867495e-05,3.6716134e-05,0.0072815,0.0072803684,0.016923934,0.019545747,0.019545017,0.37713596,1.0102145e-11,1.01045014e-11,1.8498312e-11,1.0855642e-06,1.0848296e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.19771384,0.614114,0.013258619,0.016185837,0.010518608,0.0031802352,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
519664468,0.978407,0.011241475,0.011695098,0.20605028,-0.01357195,0.02237533,0.00039040289,0.32600158,0.33644888,-3.4194815,-2.6806849e-05,1.6926956e-06,4.0723855e-05,1.4477076e-06,-6.55331e-06,2.1961794e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,2.2160117e-10,1.0208407e-05,0.00042753885,1.7910014e-06,4.69274e-05,4.6871737e-05,3.667039e-05,0.0073259575,0.007324795,0.016943477,0.019691393,0.019690644,0.37593874,1.0105062e-11,1.0107439e-11,1.8486553e-11,1.0855638e-06,1.084829e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.19844908,0.61313844,0.008728401,0.008136273,0.009888899,0.0007142934,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
519863668,0.9783727,0.011197957,0.011654935,0.20621744,-0.011026248,0.019734457,0.00076544704,0.3321214,0.33264187,-3.4154525,-2.674437e-05,1.7241555e-06,4.0713752e-05,1.4247898e-06,-6.6388257e-06,2.1058984e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,2.587399e-10,1.27189305e-05,0.0007320891,1.7935305e-06,4.684776e-05,4.679222e-05,3.666495e-05,0.0068307864,0.006829734,0.01644282,0.017978394,0.017977795,0.37194052,1.0052739e-11,1.0055172e-11,1.8485196e-11,1.0855638e-06,1.0848287e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.18962117,0.60986924,0.005369673,0.00907884,0.009181171,0.007259523,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
520063674,0.9783758,0.011219014,0.01167447,0.20620036,-0.012572175,0.019742489,0.0017523564,0.33158794,0.33364484,-3.410779,-2.6729154e-05,1.7168794e-06,4.070372e-05,1.4487474e-06,-6.667745e-06,2.1348595e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,2.8582037e-10,1.5079456e-05,0.00084381155,1.7905427e-06,4.6846555e-05,4.679107e-05,3.6600013e-05,0.0068290276,0.006827962,0.016419856,0.017971301,0.017970689,0.370148,1.0051285e-11,1.0053739e-11,1.8470067e-11,1.0855638e-06,1.0848285e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.18958372,0.6083979,0.006960877,0.028560473,0.0071314406,0.0022392275,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
520270878,0.9784192,0.011256698,0.011595814,0.20599669,-0.0117897345,0.020074433,0.0036486639,0.33395407,0.3338483,-3.4031136,-2.6691978e-05,1.7331777e-06,4.0690033e-05,1.4185201e-06,-6.667931e-06,2.0737029e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,3.539995e-10,1.6535436e-05,0.0010594985,1.7906787e-06,4.685189e-05,4.6796857e-05,3.6682908e-05,0.0068656146,0.006864535,0.016481712,0.018097902,0.018097274,0.37189794,1.0054247e-11,1.0056731e-11,1.848587e-11,1.0855638e-06,1.0848282e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.19025029,0.6098344,0.004769667,0.019579764,0.00693227,0.005247974,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
520470877,0.9783733,0.011244452,0.011677949,0.2062112,-0.01327706,0.018745458,0.0063838083,0.33455688,0.3333166,-3.400909,-2.6656571e-05,1.7330191e-06,4.068212e-05,1.4186796e-06,-6.634454e-06,2.0052446e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,4.7018195e-10,1.6795379e-05,0.0008077012,1.7943981e-06,4.6852627e-05,4.679724e-05,3.6675814e-05,0.006863767,0.0068626953,0.01647762,0.018092494,0.01809186,0.37148014,1.0052442e-11,1.0054954e-11,1.8483142e-11,1.0855634e-06,1.0848278e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.19022186,0.6094917,0.012220745,0.019016191,0.0065372223,0.002918259,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
520670068,0.9784949,0.01121304,0.01159222,0.20563947,-0.009114575,0.020180482,0.006103757,0.33844677,0.33396852,-3.4007452,-2.662075e-05,1.761943e-06,4.0662682e-05,1.352101e-06,-6.6124794e-06,2.0509606e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,1.1490335e-09,2.161499e-05,0.00086769124,1.7848564e-06,4.6855086e-05,4.6799745e-05,3.6682104e-05,0.006867371,0.0068662995,0.016474497,0.018100131,0.01809949,0.37112308,1.0051996e-11,1.0054531e-11,1.8481721e-11,1.0855631e-06,1.0848272e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.19026197,0.6091987,0.007674409,0.010671369,0.010371236,0.009614792,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
520870068,0.97833276,0.011273251,0.011518727,0.2064107,-0.009457832,0.02299118,0.008040584,0.3379286,0.33406845,-3.3964217,-2.6600026e-05,1.7481694e-06,4.0653777e-05,1.4051143e-06,-6.570809e-06,1.91155e-05,0.23041251,-0.028827788,0.3857524,0.0,0.0,0.0,0.0,0.0,1.6351864e-09,2.2270855e-05,0.00070189894,1.7992361e-06,4.6856756e-05,4.6802594e-05,3.6728856e-05,0.0068659517,0.0068648937,0.016488954,0.018094795,0.018094143,0.37206274,1.0050083e-11,1.0052648e-11,1.8491774e-11,1.0855625e-06,1.0848265e-06,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.1902339,0.60996944,0.0074306545,0.02181559,0.009283481,0.002004136,0.0,0.0,0.0,0.011969,0,0,0,831,24,0,0,0
