timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
519050777,50.753143,50.761597,0.51411355,0.76652193,0.0,108.12203,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
519253737,50.77333,50.76001,0.77117026,0.77097356,0.0,108.165886,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
519457732,50.813705,50.75801,0.77117026,0.770915,0.0,108.20956,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
519661316,50.813705,50.7565,0.77117026,0.77137375,0.0,108.25317,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
519864263,50.732956,50.753693,0.77117026,0.76499945,0.0,108.29536,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
520056113,50.67239,50.751476,0.6426419,0.7685363,0.0,108.33691,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
520259516,50.753143,50.75102,0.77117026,0.75687236,0.0,108.377914,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
520463424,50.732956,50.745197,0.77117026,0.7499782,0.0,108.419464,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
520666533,50.793518,50.74419,0.38558513,0.75979,0.0,108.46386,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
520870675,50.753143,50.743317,0.77117026,0.7493057,0.0,108.505035,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
521073726,50.732956,50.74447,0.6426419,0.7647687,0.0,108.550255,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
521277866,50.712765,50.741722,0.77117026,0.7621099,0.0,108.593124,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
521481324,50.57145,50.713875,0.77117026,0.75164133,0.0,108.63421,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
