timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
531232597,nan,nan,nan,0.3646908,0.0,0.78788054,2.1241412,-1.6579596,nan,nan,nan,nan,nan,nan,nan,nan,nan
531432806,nan,nan,nan,0.3646908,0.0,0.0010019392,2.9172943,-1.5993977,nan,nan,nan,nan,nan,nan,nan,nan,nan
531632932,nan,nan,nan,0.3646908,0.0,1.0464473,0.16671108,-1.5815846,nan,nan,nan,nan,nan,nan,nan,nan,nan
531833143,nan,nan,nan,0.3646908,0.0,0.25557664,0.040716298,-1.5320415,nan,nan,nan,nan,nan,nan,nan,nan,nan
532033962,nan,nan,nan,0.3646908,0.0,-0.62633944,-0.24653324,-1.6322215,nan,nan,nan,nan,nan,nan,nan,nan,nan
532235092,nan,nan,nan,0.3646908,0.0,-1.5621375,-0.61752063,-1.542913,nan,nan,nan,nan,nan,nan,nan,nan,nan
532454097,nan,nan,nan,0.3646908,0.0,-2.9264317,-1.1270087,-1.6103522,nan,nan,nan,nan,nan,nan,nan,nan,nan
532654011,5.166522,1.8219689,nan,0.3646908,0.0,0.0,0.0,-1.4568534,nan,nan,nan,nan,nan,nan,nan,nan,nan
532854226,5.166522,1.8219689,nan,0.3646908,0.0,0.0,0.0,-1.4708573,nan,nan,nan,nan,nan,nan,nan,nan,nan
533054446,nan,nan,nan,0.3646908,0.0,0.91695124,0.3500624,-1.54556,nan,nan,nan,nan,nan,nan,nan,nan,nan
533254729,nan,nan,nan,0.3646908,0.0,1.8525999,0.7072629,-1.465853,nan,nan,nan,nan,nan,nan,nan,nan,nan
533455014,nan,nan,nan,0.3646908,0.0,2.7882028,1.0644459,-1.4256341,nan,nan,nan,nan,nan,nan,nan,nan,nan
533655050,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,-1.2310376,nan,nan,nan,nan,nan,nan,nan,nan,nan
533877630,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,-1.0046765,nan,nan,nan,nan,nan,nan,nan,nan,nan
534077103,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,-0.40668344,nan,nan,nan,nan,nan,nan,nan,nan,nan
534276077,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,0.19054455,nan,nan,nan,nan,nan,nan,nan,nan,nan
534476353,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,0.7910425,nan,nan,nan,nan,nan,nan,nan,nan,nan
534676811,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,1.3927764,nan,nan,nan,nan,nan,nan,nan,nan,nan
534876359,4.4448357,1.5062525,nan,0.3646908,0.0,0.0,0.0,1.4027753,nan,nan,nan,nan,nan,nan,nan,nan,nan
535076624,4.4448357,1.5062525,nan,nan,0.047529362,0.0,0.0,0.80149734,nan,nan,nan,nan,nan,nan,nan,nan,nan
535279530,4.4448357,1.5062525,nan,nan,0.12431,0.0,0.0,0.19286633,nan,nan,nan,nan,nan,nan,nan,nan,nan
535476828,4.4448357,1.5062525,nan,nan,0.06847892,0.0,0.0,-0.39911467,nan,nan,nan,nan,nan,nan,nan,nan,nan
535677071,4.4448357,1.5062525,nan,nan,0.052981988,0.0,0.0,-0.9995167,nan,nan,nan,nan,nan,nan,nan,nan,nan
535897413,4.4448357,1.5062525,nan,nan,0.051574126,0.0,0.0,-1.6608455,nan,nan,nan,nan,nan,nan,nan,nan,nan
536097532,4.4448357,1.5062525,nan,nan,0.052446634,0.0,0.0,-2.2612236,nan,nan,nan,nan,nan,nan,nan,nan,nan
536297641,4.4448357,1.5062525,nan,nan,0.047286537,0.0,0.0,-2.8615417,nan,nan,nan,nan,nan,nan,nan,nan,nan
536497852,4.4448357,1.5062525,nan,nan,0.012295761,0.0,0.0,-2.2611668,nan,nan,nan,nan,nan,nan,nan,nan,nan
536698128,4.4448357,1.5062525,nan,nan,0.106946215,0.0,0.0,-1.6603687,nan,nan,nan,nan,nan,nan,nan,nan,nan
536898284,4.4448357,1.5062525,nan,nan,1.0764791,0.0,0.0,-1.0596036,nan,nan,nan,nan,nan,nan,nan,nan,nan
537098787,4.4448357,1.5062525,nan,nan,1.4264935,0.0,0.0,-0.45809162,nan,nan,nan,nan,nan,nan,nan,nan,nan
537318817,4.4448357,1.5062525,-17.916311,nan,0.14873342,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
537518892,4.4448357,1.5062525,-17.916311,nan,-0.05551917,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
537719079,4.4448357,1.5062525,-17.916311,nan,-0.055805694,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
537919294,4.4448357,1.5062525,nan,nan,-0.012276708,0.0,0.0,-0.24018301,nan,nan,nan,nan,nan,nan,nan,nan,nan
538119418,4.4448357,1.5062525,-17.90905,nan,-0.0013152716,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
538319594,4.4448357,1.5062525,-17.90905,nan,-0.0001408028,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
538520342,4.4448357,1.5062525,-17.90905,nan,-1.4972663e-05,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
538740001,4.4448357,1.5062525,-17.90905,nan,-1.2900737e-06,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
538940388,4.4448357,1.5062525,-17.90905,nan,-1.377934e-07,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
539140607,4.4448357,1.5062525,-17.90905,0.9547995,-1.4759298e-08,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
539340676,4.4448357,1.5062525,nan,0.9547995,-1.5821322e-09,0.0,0.0,-0.098268,nan,nan,nan,nan,nan,nan,nan,nan,nan
539541150,4.4448357,1.5062525,nan,0.9547995,-1.6884753e-10,0.0,0.0,-0.69969,nan,nan,nan,nan,nan,nan,nan,nan,nan
539741216,4.4448357,1.5062525,nan,0.9547995,-1.8129474e-11,0.0,0.0,-1.2534088,nan,nan,nan,nan,nan,nan,nan,nan,nan
539941438,4.4448357,1.5062525,nan,0.9547995,-1.9393493e-12,0.0,0.0,-1.1910274,nan,nan,nan,nan,nan,nan,nan,nan,nan
540141548,4.4448357,1.5062525,nan,0.9547995,-2.0794897e-13,0.0,0.0,-1.2310456,nan,nan,nan,nan,nan,nan,nan,nan,nan
540341677,4.4448357,1.5062525,nan,0.9547995,-2.2305088e-14,0.0,0.0,-1.2599294,nan,nan,nan,nan,nan,nan,nan,nan,nan
540542243,4.4448357,1.5062525,nan,0.9547995,-2.3766597e-15,0.0,0.0,-1.2792017,nan,nan,nan,nan,nan,nan,nan,nan,nan
540762396,4.4448357,1.5062525,nan,0.9547995,-2.047221e-16,0.0,0.0,-1.417588,nan,nan,nan,nan,nan,nan,nan,nan,nan
540963081,4.4448357,1.5062525,nan,0.9547995,-2.1673626e-17,0.0,0.0,-1.4685011,nan,nan,nan,nan,nan,nan,nan,nan,nan
541164497,4.4448357,1.5062525,nan,0.9547995,-2.2848213e-18,0.0,0.0,-1.5048196,nan,nan,nan,nan,nan,nan,nan,nan,nan
541363422,4.4448357,1.5062525,nan,0.9547995,-2.4858383e-19,0.0,0.0,-1.5913322,nan,nan,nan,nan,nan,nan,nan,nan,nan
541563013,4.4448357,1.5062525,nan,0.9547995,-2.6792579e-20,0.0,0.0,-1.5425539,nan,nan,nan,nan,nan,nan,nan,nan,nan
541763322,4.4448357,1.5062525,nan,0.9547995,-2.8690675e-21,0.0,0.0,-1.7544308,nan,nan,nan,nan,nan,nan,nan,nan,nan
541963584,4.4448357,1.5062525,nan,0.9547995,-3.0689183e-22,0.0,0.0,-1.6879103,nan,nan,nan,nan,nan,nan,nan,nan,nan
542163567,4.4448357,1.5062525,nan,0.9547995,-3.2937978e-23,0.0,0.0,-1.7195079,nan,nan,nan,nan,nan,nan,nan,nan,nan
542383867,4.4448357,1.5062525,nan,0.9547995,-2.8176183e-24,0.0,0.0,-1.8628981,nan,nan,nan,nan,nan,nan,nan,nan,nan
542583913,4.4448357,1.5062525,nan,0.9547995,-3.022994e-25,0.0,0.0,-1.8816867,nan,nan,nan,nan,nan,nan,nan,nan,nan
542784118,4.4448357,1.5062525,nan,0.9547995,-3.2399377e-26,0.0,0.0,-2.0932422,nan,nan,nan,nan,nan,nan,nan,nan,nan
542984402,4.4448357,1.5062525,nan,0.9547995,-3.4682474e-27,0.0,0.0,-2.3345914,nan,nan,nan,nan,nan,nan,nan,nan,nan
543185052,4.4448357,1.5062525,nan,0.9547995,-3.716229e-28,0.0,0.0,-2.3824563,nan,nan,nan,nan,nan,nan,nan,nan,nan
543385190,4.4448357,1.5062525,nan,0.9547995,-3.9557232e-29,0.0,0.0,-2.5075555,nan,nan,nan,nan,nan,nan,nan,nan,nan
543585981,4.4448357,1.5062525,nan,0.9547995,-4.2017668e-30,0.0,0.0,-2.2772963,nan,nan,nan,nan,nan,nan,nan,nan,nan
543805199,4.4448357,1.5062525,nan,0.9547995,-3.6438012e-31,0.0,0.0,-2.6238728,nan,nan,nan,nan,nan,nan,nan,nan,nan
544005371,4.4448357,1.5062525,nan,0.9547995,-3.9001774e-32,0.0,0.0,-2.772992,nan,nan,nan,nan,nan,nan,nan,nan,nan
544205596,4.4448357,1.5062525,nan,0.9547995,-4.181366e-33,0.0,0.0,-3.1303854,nan,nan,nan,nan,nan,nan,nan,nan,nan
