timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
527183668,0.35213366,-0.20116508,0.8605565,0.8689824,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
527191674,0.35799795,-0.20740463,0.85760754,0.8659749,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
527391668,0.5577065,-0.13966332,0.82094103,0.84519494,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
527594873,0.5105884,-0.29984272,0.7955418,0.81969523,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
527802868,0.80290407,-0.05883373,0.7433493,0.78673434,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
528002069,0.7134329,-0.33031607,0.7176737,0.75679606,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
528210094,0.34975547,-0.6541113,0.676743,0.7294616,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
528409311,0.46074054,-0.49750313,0.65000755,0.7073664,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
528608473,0.8854966,-0.23112729,0.6127137,0.6834983,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
528808487,0.8271648,-0.40980044,0.5968065,0.66459125,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
529015668,0.8636333,-0.45494315,0.5845853,0.6526821,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
529215668,0.8826049,-0.5373919,0.57599074,0.63954026,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
529422868,0.7134933,-0.71483296,0.5556012,0.6227864,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
529622882,0.72816634,-0.8754251,0.5413471,0.60468763,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
529822068,1.022025,-0.722791,0.5193531,0.5888936,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
530022068,1.0689257,-0.7725364,0.5070006,0.57286125,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
530225269,1.1491199,-0.83141184,0.49702087,0.55826306,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
530424475,1.1679984,-0.8375712,0.49080768,0.55106676,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
530624467,1.1286986,-0.91117305,0.48110536,0.5395119,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
530831668,1.1411173,-0.98031074,0.4706784,0.5284216,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
531031669,1.116884,-1.1523556,0.4617033,0.5154969,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
531234868,1.1278248,-1.2079192,0.45511842,0.5042263,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
531434875,1.2073876,-1.3435317,0.44754866,0.49177307,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
531642097,1.2069722,-1.2863698,0.4391312,0.47943226,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
531841276,1.2563622,-1.2652116,0.43298662,0.47328177,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
532049274,1.2977417,-1.2456081,0.42751086,0.46829465,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
532248468,1.4215307,-1.209583,0.41726503,0.45976362,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
532448468,1.4694229,-1.2905147,0.41058385,0.44866708,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
532655668,1.4798772,-1.1844985,0.40522066,0.44066396,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
532855674,1.5869278,-1.2207353,0.39906693,0.4333772,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
533058874,1.6406289,-1.2630564,0.3923191,0.4267266,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
533266868,1.7448803,-1.1654435,0.38137367,0.4162247,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
533466075,1.8175697,-1.2390227,0.37585205,0.40721294,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
533666068,1.8549061,-1.3345389,0.3712342,0.39952925,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
533873270,1.9644722,-1.2225671,0.3628593,0.3917254,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
534072468,2.1009808,-1.1752762,0.35551253,0.38694283,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
534280468,2.111158,-1.2104542,0.35165063,0.38235626,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
534479668,2.1261694,-1.2069231,0.34865576,0.37940627,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
534679668,2.1495907,-1.2044029,0.34602687,0.37654302,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
534886903,2.2087874,-1.1754589,0.34171927,0.3730944,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
535086868,2.2405303,-1.1790701,0.33866173,0.37012988,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
535290112,2.330555,-1.0880347,0.33262688,0.3649884,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
535490068,2.3651793,-1.0817652,0.32961866,0.36224625,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
535689283,2.4022837,-1.0758985,0.32613444,0.35929736,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
535896501,2.4643207,-1.069123,0.32204795,0.3557059,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
536096521,2.5323424,-1.0728143,0.31725898,0.35168123,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
536303668,2.56813,-1.0696182,0.3140863,0.34813565,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
536503668,2.632338,-1.080024,0.31047994,0.3444322,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
536710869,2.6829653,-1.0022817,0.3060549,0.33978453,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
536910918,2.727338,-0.97957367,0.3028545,0.33632547,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
537110074,2.764885,-0.9396532,0.2996187,0.33310094,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
537313287,2.8147027,-0.9371547,0.29654935,0.3297361,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
537521276,2.8660436,-0.8805983,0.2935232,0.32592496,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
537720468,2.8523152,-0.92404556,0.2904346,0.3214155,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
537928468,2.910494,-0.87047964,0.2867684,0.31615576,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
538127668,2.9301622,-0.8474889,0.2839669,0.3128126,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
538327686,2.9734898,-0.8392778,0.28118077,0.3089277,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
538530874,3.0150127,-0.8894292,0.2763029,0.30295974,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
538741317,3.0385463,-0.91942847,0.27385932,0.30046874,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
538942068,3.0413828,-0.92233163,0.2723161,0.2984766,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
539141272,2.9984856,-0.9021614,0.2696041,0.295095,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
539341268,3.016921,-0.98972946,0.26646516,0.29144606,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
539548468,3.065332,-1.0197685,0.2636605,0.28845897,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
539748474,3.0727856,-0.8835021,0.2599263,0.28353116,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
539947668,3.1004536,-0.8867203,0.2578397,0.2813889,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
540154890,3.124982,-0.87719494,0.25426868,0.2771247,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
540354868,3.144336,-0.9395132,0.25085452,0.27286348,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
540554868,3.2397974,-1.0306811,0.2467486,0.2686727,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
540762068,3.2728739,-1.035945,0.24429606,0.2660077,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
540961286,3.3302643,-0.88885415,0.24141267,0.26133847,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
541169270,3.322051,-0.85130066,0.23885648,0.2578353,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
541368476,3.3451273,-0.853045,0.23648064,0.2541396,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
541567725,3.379184,-0.8042118,0.23476432,0.25173295,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
541775668,3.4493744,-0.8205215,0.23170465,0.24796171,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
541974868,3.4750485,-0.9846408,0.22794168,0.24362311,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
542174881,3.5064645,-0.99335086,0.2256903,0.24147505,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
542378068,3.5098293,-0.9478326,0.22413132,0.23947878,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
542586068,3.5190773,-0.9531229,0.22226459,0.2368877,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
542785279,3.5436819,-1.0470966,0.21959145,0.2338698,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
542993274,3.633657,-1.16134,0.21592845,0.23062634,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
543192468,3.6868632,-1.1348346,0.2133658,0.2278606,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
543392468,3.684159,-1.1583762,0.21182467,0.22604372,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
543599691,3.7338552,-1.144051,0.20971636,0.22365573,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
543798868,3.7506511,-1.0978559,0.20801426,0.2214938,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
544006868,3.7611353,-1.0541377,0.20639889,0.21938306,-2.4e-44,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
544210068,3.792779,-1.033403,0.20503446,0.21769328,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
544409322,3.7899652,-1.058942,0.20344235,0.21581203,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
544617272,3.8090427,-1.0668297,0.20222586,0.21464542,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
544816474,3.8347905,-1.047232,0.20074287,0.21294053,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
545016468,3.8492045,-1.0643637,0.19936122,0.21143277,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
545223668,3.8813608,-1.0812345,0.19736403,0.20953701,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
545423708,3.8987331,-1.0627047,0.19593789,0.20750201,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
545622868,3.9247901,-1.0502846,0.19461843,0.20580834,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
545830885,3.9259045,-1.0147914,0.1932709,0.20431225,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
546034074,3.9450705,-0.99170125,0.19205317,0.20294774,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
546233272,3.9629362,-1.0148519,0.19074926,0.20173118,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
546441313,3.9718692,-1.0122383,0.18948695,0.20030542,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
546640468,3.989634,-1.0152531,0.18832076,0.1989617,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
546840468,3.9908993,-1.0291454,0.18698864,0.19750796,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
547047668,3.9875808,-1.0281583,0.18544139,0.19551395,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
547247673,3.997486,-1.065365,0.18407874,0.19383377,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
547454868,4.0025854,-1.0681077,0.1832147,0.19280833,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
547658109,4.0115843,-1.0453191,0.181744,0.19101386,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
547858068,3.9918747,-0.9458256,0.179768,0.18884149,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
548057268,4.008246,-1.005608,0.17825139,0.1871936,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
548257289,4.012066,-0.96345055,0.17717268,0.18591264,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
548464477,4.037308,-0.96656466,0.17539807,0.18405448,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
548672468,4.059677,-0.98754835,0.17390515,0.18278779,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
548871668,4.0779805,-0.93812835,0.1727187,0.18118706,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
549078868,4.087257,-0.9152732,0.17152658,0.17981064,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
549278868,4.086476,-0.8888474,0.17075028,0.17891257,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
549478074,4.111242,-0.96544826,0.16911288,0.17725252,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
549678068,4.1176734,-0.9336944,0.16840133,0.17632307,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
549885319,4.124217,-0.9040189,0.16763215,0.17536421,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
550085283,4.131758,-0.90135884,0.16656356,0.17430185,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
550288472,4.1314263,-0.9055484,0.166031,0.1736753,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
550488473,4.1392846,-0.909144,0.1654343,0.17307973,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
550695683,4.142367,-0.9112474,0.16496637,0.17256035,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
550894898,4.1503634,-0.91621226,0.16444197,0.17200956,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
551102874,4.155779,-0.9206153,0.1637816,0.1713161,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
551302068,4.1586995,-0.9198137,0.16331683,0.1708405,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
551502081,4.1653485,-0.916675,0.16258638,0.17000207,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
551709284,4.1725397,-0.9262796,0.16183172,0.16921884,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
551909274,4.1754456,-0.9298223,0.16128896,0.16852504,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
552112495,4.1732626,-0.92679054,0.16061974,0.1677856,-2.4e-44,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
552319668,4.183834,-0.93396044,0.15999117,0.16720104,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
552519668,4.1906633,-0.9318238,0.159539,0.16674031,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
552726875,4.190784,-0.9303028,0.15915164,0.16634376,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
552926913,4.196723,-0.9295208,0.15874398,0.16593337,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
553126068,4.191035,-0.9260459,0.15834548,0.16556174,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
553334068,4.1857624,-0.9283579,0.15797433,0.16518258,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
553537268,4.1841435,-0.93740064,0.15747528,0.16462927,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
553736481,4.1731377,-0.95543844,0.15696122,0.1639167,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
553936499,4.1612062,-0.9751935,0.15631543,0.16304144,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
554143668,4.14533,-1.0285414,0.15524526,0.1615619,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
554343668,4.132081,-1.0506476,0.15448792,0.1606367,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
554550868,4.106275,-1.1385137,0.15298551,0.15865995,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
554750896,4.1040654,-1.10017,0.15210688,0.15780045,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
554954068,4.0792866,-1.0887105,0.15136188,0.15702869,1.0976956e-19,4.0208055e-34,4.0207366e-34,4.6684372e-34,1.0979489e-19
