timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
519050071,0.008997318,0.014852825,-0.043550022,-0.01755175,0.017502189,-0.116363525,0.0,0.0,0.0,-0.002732426,0.0,0.0,0.0,0.0,0.0,0.25738737,0.2573863,0.5795448,0.2699292,0.26992843,100.376686,0.0,0.0,0.0,0.090153314,0.0,0.0,0.0,0.0,0.0,0.00013124179,0.00089270977,0.0030703458,0.0,0.0,0.0,0.0,0.0,0.0
519257274,-0.011098252,0.03779111,0.020277735,-0.017340064,0.018570423,0.1318531,0.0,0.0,0.0,-0.00025972724,0.0,0.0,0.0,0.0,0.0,0.25734395,0.25734285,0.57948744,0.2697737,0.26977295,100.377655,0.0,0.0,0.0,0.09015329,0.0,0.0,0.0,0.0,0.0,0.00016700954,0.00075428863,0.0015889803,0.0,0.0,0.0,0.0,0.0,0.0
519457271,-0.034695894,0.04105437,-0.01397418,-0.016785592,0.027316064,-0.1593113,0.0,0.0,0.0,-0.010350525,0.0,0.0,0.0,0.0,0.0,0.25734186,0.25734073,0.5794981,0.2697621,0.26976135,100.3771,0.0,0.0,0.0,0.09015328,0.0,0.0,0.0,0.0,0.0,0.00020069763,0.0012836321,0.0022407116,0.0,0.0,0.0,0.0,0.0,0.0
519664468,0.002636848,0.020635681,0.00014374126,-0.025674164,0.016115606,-0.03578186,0.0,0.0,0.0,0.0068139434,0.0,0.0,0.0,0.0,0.0,0.25730518,0.257304,0.5794442,0.26962292,0.26962218,100.376625,0.0,0.0,0.0,0.090153165,0.0,0.0,0.0,0.0,0.0,0.00018170668,0.00038069388,0.0011373262,0.0,0.0,0.0,0.0,0.0,0.0
519863668,-0.023027178,-0.0016323216,0.028883765,-0.021543711,0.023839474,-0.363657,0.0,0.0,0.0,-0.0041919053,0.0,0.0,0.0,0.0,0.0,0.25732422,0.25732303,0.579438,0.26968595,0.2696852,100.37549,0.0,0.0,0.0,0.090153076,0.0,0.0,0.0,0.0,0.0,0.00020674245,0.0028531249,0.005550423,0.0,0.0,0.0,0.0,0.0,0.0
520063674,0.07243925,0.010464818,-0.0032764776,-0.018516958,0.015062511,-0.11217117,0.0,0.0,0.0,-0.005434096,0.0,0.0,0.0,0.0,0.0,0.25732213,0.25732094,0.57943434,0.26967752,0.26967674,100.375114,0.0,0.0,0.0,0.090152964,0.0,0.0,0.0,0.0,0.0,0.000120919496,0.00039484835,0.003004108,0.0,0.0,0.0,0.0,0.0,0.0
520270878,0.019799702,0.018878382,0.074524045,-0.018004894,0.015511543,-0.26288986,0.0,0.0,0.0,-0.0037235022,0.0,0.0,0.0,0.0,0.0,0.25736597,0.25736475,0.5794792,0.26983002,0.26982924,100.374725,0.0,0.0,0.0,0.09015305,0.0,0.0,0.0,0.0,0.0,0.00013878275,0.0007651556,0.0032536373,0.0,0.0,0.0,0.0,0.0,0.0
520470877,0.028483814,0.048235446,-0.013474375,-0.016978651,0.016174108,0.14618683,0.0,0.0,0.0,0.00954029,0.0,0.0,0.0,0.0,0.0,0.25736386,0.25736263,0.57947487,0.26982355,0.26982278,100.37576,0.0,0.0,0.0,0.090153195,0.0,0.0,0.0,0.0,0.0,0.00013962924,0.0011942511,0.0020449385,0.0,0.0,0.0,0.0,0.0,0.0
520670068,-0.027066253,0.0177862,0.00096745417,-0.02692905,0.01522398,0.48163414,0.0,0.0,0.0,0.005991131,0.0,0.0,0.0,0.0,0.0,0.25732148,0.25732028,0.5794442,0.2696752,0.26967442,100.372505,0.0,0.0,0.0,0.09015319,0.0,0.0,0.0,0.0,0.0,0.00017789935,0.0018419086,0.0034828451,0.0,0.0,0.0,0.0,0.0,0.0
520870068,0.055331662,0.035947084,-0.03564205,-0.024104416,0.016509116,-0.1003952,0.0,0.0,0.0,-0.0058008432,0.0,0.0,0.0,0.0,0.0,0.25732,0.25731882,0.57945955,0.2696693,0.26966846,100.37636,0.0,0.0,0.0,0.09015327,0.0,0.0,0.0,0.0,0.0,0.00012647378,0.0011680829,0.0010808527,0.0,0.0,0.0,0.0,0.0,0.0
