timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
518790794,0.22543234,0.06210969,0.031424016
1282486950,0.27782136,0.06153448,0.029488964
1282690516,0.24535586,0.0483633,0.049181886
1282891588,0.18451568,0.049679123,0.049526047
1283093351,0.19577222,0.048664372,0.041722227
1283293855,0.22857632,0.047540884,0.036488317
