timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
519050777,50.753143,50.761597,0.3,0.3,0.0,43.070663,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
519253737,50.77333,50.76001,0.3,0.3,0.0,43.087566,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
519457732,50.813705,50.75801,0.3625,0.3625,0.0,43.105034,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
519661316,50.813705,50.7565,0.4875,0.4875,0.0,43.129967,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
519864263,50.732956,50.753693,0.565625,0.565625,0.0,43.158546,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
520056113,50.67239,50.751476,0.659375,0.659375,0.0,43.190586,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
520259516,50.753143,50.75102,0.753125,0.753125,0.0,43.231472,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
520463424,50.732956,50.745197,0.878125,0.878125,0.0,43.27738,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
520666533,50.793518,50.74419,1.003125,1.003125,0.0,43.329372,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
520870675,50.753143,50.743317,1.1125,1.1125,0.0,43.388664,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
521073726,50.732956,50.74447,1.253125,1.253125,0.0,43.454098,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
521277866,50.712765,50.741722,1.596875,1.596875,0.0,43.529865,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
521481324,50.57145,50.713875,6.9875,6.9875,0.0,43.71934,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
521685033,50.67239,50.70441,8.33125,8.33125,0.0,44.19637,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
521888282,50.611824,50.698803,6.440625,6.440625,0.0,44.61469,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
522091319,50.652203,50.692574,5.64375,5.64375,0.0,44.955826,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
522295454,50.652203,50.688866,5.39375,5.39375,0.0,45.26679,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
522498553,50.591637,50.686756,5.253125,5.253125,0.0,45.566936,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
522702787,50.712765,50.685616,5.20625,5.20625,0.0,45.86518,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
522905859,50.712765,50.68433,5.26875,5.26875,0.0,46.163303,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
523109794,50.652203,50.682987,5.26875,5.26875,0.0,46.46046,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
523313028,50.652203,50.68432,5.175,5.175,0.0,46.757587,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
523516139,50.732956,50.683907,5.065625,5.065625,0.0,47.0439,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
523708135,50.692577,50.680893,5.159375,5.159375,0.0,47.31561,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
523911458,50.692577,50.67954,5.096875,5.096875,0.0,47.603992,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
524115444,50.652203,50.679,5.20625,5.20625,0.0,47.895897,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
524318673,50.652203,50.67741,5.14375,5.14375,0.0,48.1883,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
524522643,50.652203,50.67578,5.175,5.175,0.0,48.48302,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
524726297,50.652203,50.674908,5.14375,5.14375,0.0,48.77473,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
524929978,50.712765,50.673992,5.096875,5.096875,0.0,49.06521,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
525133038,50.652203,50.672264,5.003125,5.003125,0.0,49.350365,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
525336928,50.712765,50.672813,5.01875,5.01875,0.0,49.634422,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
525540270,50.652203,50.670677,5.05,5.05,0.0,49.916767,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
525743436,50.611824,50.67126,5.003125,5.003125,0.0,50.200283,1.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1234,1,1,0,0,0
