timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
518498261,inf,1,0,0,0,0
519515257,inf,1,0,0,0,0
520517357,inf,1,0,0,0,0
521531273,inf,1,0,0,0,0
522531498,inf,1,0,0,0,0
523539280,inf,1,0,0,0,0
524556263,inf,1,0,0,0,0
525558260,inf,1,0,0,0,0
526129720,inf,0,0,1,0,1
526254963,inf,0,0,0,0,0
527267306,inf,0,0,0,0,0
528271296,inf,0,0,0,0,0
529286267,inf,0,0,0,0,0
530289692,inf,0,0,0,0,0
531294650,inf,0,0,0,0,0
532301387,inf,0,0,0,0,0
533308301,inf,0,0,0,0,0
534316807,inf,0,0,0,0,0
534444521,inf,0,0,0,0,1
535139552,inf,0,0,0,0,0
536159262,inf,0,0,0,0,0
537160301,inf,0,0,0,0,0
538161457,inf,0,0,0,0,0
539180700,inf,0,0,0,0,0
540198262,inf,0,0,0,0,0
541208279,inf,0,0,0,0,0
542208332,inf,0,0,0,0,0
543218134,inf,0,0,0,0,0
544221350,inf,0,0,0,0,0
545223267,inf,0,0,0,0,0
546241690,inf,0,0,0,0,0
547244575,inf,0,0,0,0,0
548264262,inf,0,0,0,0,0
549267788,inf,0,0,0,0,0
550275818,inf,0,0,0,0,0
551288555,inf,0,0,0,0,0
552306307,inf,0,0,0,0,0
553316263,inf,0,0,0,0,0
554331281,inf,0,0,0,0,0
555340719,inf,0,0,0,0,0
556345076,inf,0,0,0,0,0
557363059,inf,0,0,0,0,0
558376337,inf,0,0,0,0,0
559390270,inf,0,0,0,0,0
560400262,inf,0,0,0,0,0
561417381,inf,0,0,0,0,0
562435889,inf,0,0,0,0,0
563453528,inf,0,0,0,0,0
564461359,inf,0,0,0,0,0
565464267,inf,0,0,0,0,0
566466314,inf,0,0,0,0,0
567482644,inf,0,0,0,0,0
568485379,inf,0,0,0,0,0
569496306,inf,0,0,0,0,0
570498262,inf,0,0,0,0,0
571503157,inf,0,0,0,0,0
572521313,inf,0,0,0,0,0
573521370,inf,0,0,0,0,0
574536299,inf,0,0,0,0,0
575539744,inf,0,0,0,0,0
576555595,inf,0,0,0,0,0
577556280,inf,0,0,0,0,0
578573459,inf,0,0,0,0,0
