timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
519057054,4.726025,0.0,0,0,1,0,1,0,0
519557011,4.724414,0.0,0,0,1,0,1,0,0
520066960,4.716357,0.0,0,0,1,0,1,0,0
520567000,4.716357,0.0,0,0,1,0,1,0,0
521066960,4.7228026,0.0,0,0,1,0,1,0,0
521566992,4.7228026,0.0,0,0,1,0,1,0,0
522066960,4.7228026,0.0,0,0,1,0,1,0,0
522566960,4.703467,0.0,0,0,1,0,1,0,0
523066979,4.7324705,0.0,0,0,1,0,1,0,0
523576989,4.716357,0.0,0,0,1,0,1,0,0
524076989,4.7228026,0.0,0,0,1,0,1,0,0
524577017,4.7228026,0.0,0,0,1,0,1,0,0
525077026,4.716357,0.0,0,0,1,0,1,0,0
525577011,4.729248,0.0,0,0,1,0,1,0,0
526077011,4.716357,0.0,0,0,1,0,1,0,0
526586983,4.709912,0.0,0,0,1,0,1,0,0
527086960,4.703467,0.0,0,0,1,0,1,0,0
527586969,4.6954103,0.0,0,0,1,0,1,0,0
528086981,4.729248,0.0,0,0,1,0,1,0,0
528586965,4.713135,0.0,0,0,1,0,1,0,0
529097012,4.713135,0.0,0,0,1,0,1,0,0
529596989,4.713135,0.0,0,0,1,0,1,0,0
530096989,4.6841307,0.0,0,0,1,0,1,0,0
530597017,4.7228026,0.0,0,0,1,0,1,0,0
531097017,4.716357,0.0,0,0,1,0,1,0,0
531606987,4.7228026,0.0,0,0,1,0,1,0,0
532106960,4.716357,0.0,0,0,1,0,1,0,0
532606960,4.703467,0.0,0,0,1,0,1,0,0
533106966,4.7228026,0.0,0,0,1,0,1,0,0
533606972,4.714746,0.0,0,0,1,0,1,0,0
534117011,4.709912,0.0,0,0,1,0,1,0,0
534617055,4.713135,0.0,0,0,1,0,1,0,0
535117019,4.690576,0.0,0,0,1,0,1,0,0
535616989,4.7211914,0.0,0,0,1,0,1,0,0
536116990,4.716357,0.0,0,0,1,0,1,0,0
536617045,4.716357,0.0,0,0,1,0,1,0,0
537117060,4.6970215,0.0,0,0,1,0,1,0,0
537617023,4.7228026,0.0,0,0,1,0,1,0,0
538117011,4.713135,0.0,0,0,1,0,1,0,0
538617011,4.709912,0.0,0,0,1,0,1,0,0
539117010,4.7066894,0.0,0,0,1,0,1,0,0
539617018,4.71958,0.0,0,0,1,0,1,0,0
540117033,4.714746,0.0,0,0,1,0,1,0,0
540626960,4.709912,0.0,0,0,1,0,1,0,0
541126967,4.709912,0.0,0,0,1,0,1,0,0
541626978,4.716357,0.0,0,0,1,0,1,0,0
542126967,4.713135,0.0,0,0,1,0,1,0,0
542626960,4.7211914,0.0,0,0,1,0,1,0,0
543126960,4.700244,0.0,0,0,1,0,1,0,0
543626989,4.729248,0.0,0,0,1,0,1,0,0
544126961,4.713135,0.0,0,0,1,0,1,0,0
544626960,4.703467,0.0,0,0,1,0,1,0,0
545126960,4.6970215,0.0,0,0,1,0,1,0,0
545626969,4.709912,0.0,0,0,1,0,1,0,0
546126960,4.716357,0.0,0,0,1,0,1,0,0
546626989,4.7083006,0.0,0,0,1,0,1,0,0
547136989,4.703467,0.0,0,0,1,0,1,0,0
547637027,4.703467,0.0,0,0,1,0,1,0,0
548137010,4.7211914,0.0,0,0,1,0,1,0,0
548637017,4.716357,0.0,0,0,1,0,1,0,0
549137010,4.71958,0.0,0,0,1,0,1,0,0
549646960,4.709912,0.0,0,0,1,0,1,0,0
550146975,4.6937985,0.0,0,0,1,0,1,0,0
550646960,4.716357,0.0,0,0,1,0,1,0,0
551146963,4.7115235,0.0,0,0,1,0,1,0,0
551647009,4.7066894,0.0,0,0,1,0,1,0,0
552146971,4.7066894,0.0,0,0,1,0,1,0,0
552657025,4.6970215,0.0,0,0,1,0,1,0,0
553156989,4.709912,0.0,0,0,1,0,1,0,0
553656989,4.709912,0.0,0,0,1,0,1,0,0
554157025,4.7083006,0.0,0,0,1,0,1,0,0
554657023,4.716357,0.0,0,0,1,0,1,0,0
555157040,4.716357,0.0,0,0,1,0,1,0,0
555657017,4.716357,0.0,0,0,1,0,1,0,0
556157037,4.7066894,0.0,0,0,1,0,1,0,0
556657038,4.7228026,0.0,0,0,1,0,1,0,0
557157011,4.714746,0.0,0,0,1,0,1,0,0
557666961,4.71958,0.0,0,0,1,0,1,0,0
558166965,4.713135,0.0,0,0,1,0,1,0,0
558666971,4.6970215,0.0,0,0,1,0,1,0,0
559166979,4.7228026,0.0,0,0,1,0,1,0,0
559666960,4.716357,0.0,0,0,1,0,1,0,0
560166980,4.716357,0.0,0,0,1,0,1,0,0
560666960,4.709912,0.0,0,0,1,0,1,0,0
561177023,4.703467,0.0,0,0,1,0,1,0,0
561677011,4.7228026,0.0,0,0,1,0,1,0,0
562177011,4.713135,0.0,0,0,1,0,1,0,0
562677011,4.7211914,0.0,0,0,1,0,1,0,0
563177057,4.6970215,0.0,0,0,1,0,1,0,0
563686980,4.6937985,0.0,0,0,1,0,1,0,0
564186960,4.7211914,0.0,0,0,1,0,1,0,0
564686960,4.71958,0.0,0,0,1,0,1,0,0
565186996,4.716357,0.0,0,0,1,0,1,0,0
565686960,4.709912,0.0,0,0,1,0,1,0,0
566186960,4.716357,0.0,0,0,1,0,1,0,0
566697011,4.71958,0.0,0,0,1,0,1,0,0
567197011,4.716357,0.0,0,0,1,0,1,0,0
567697010,4.716357,0.0,0,0,1,0,1,0,0
568197047,4.6954103,0.0,0,0,1,0,1,0,0
568697011,4.713135,0.0,0,0,1,0,1,0,0
569196989,4.716357,0.0,0,0,1,0,1,0,0
569696989,4.703467,0.0,0,0,1,0,1,0,0
570197028,4.714746,0.0,0,0,1,0,1,0,0
570697017,4.713135,0.0,0,0,1,0,1,0,0
571197017,4.71958,0.0,0,0,1,0,1,0,0
571697011,4.703467,0.0,0,0,1,0,1,0,0
572206984,4.700244,0.0,0,0,1,0,1,0,0
572706960,4.726025,0.0,0,0,1,0,1,0,0
573206960,4.7066894,0.0,0,0,1,0,1,0,0
573707020,4.716357,0.0,0,0,1,0,1,0,0
574206960,4.6921873,0.0,0,0,1,0,1,0,0
574707004,4.71958,0.0,0,0,1,0,1,0,0
575217035,4.716357,0.0,0,0,1,0,1,0,0
575716989,4.716357,0.0,0,0,1,0,1,0,0
576217017,4.71958,0.0,0,0,1,0,1,0,0
576717024,4.6937985,0.0,0,0,1,0,1,0,0
577217011,4.71958,0.0,0,0,1,0,1,0,0
577717011,4.713135,0.0,0,0,1,0,1,0,0
578217011,4.716357,0.0,0,0,1,0,1,0,0
578717054,4.703467,0.0,0,0,1,0,1,0,0
579217011,4.71958,0.0,0,0,1,0,1,0,0
579717011,4.716357,0.0,0,0,1,0,1,0,0
580226977,4.71958,0.0,0,0,1,0,1,0,0
580726967,4.703467,0.0,0,0,1,0,1,0,0
581226960,4.709912,0.0,0,0,1,0,1,0,0
581726960,4.716357,0.0,0,0,1,0,1,0,0
582226960,4.716357,0.0,0,0,1,0,1,0,0
582727000,4.709912,0.0,0,0,1,0,1,0,0
583226960,4.71958,0.0,0,0,1,0,1,0,0
583737052,4.6970215,0.0,0,0,1,0,1,0,0
584237011,4.716357,0.0,0,0,1,0,1,0,0
584737010,4.71958,0.0,0,0,1,0,1,0,0
585237024,4.713135,0.0,0,0,1,0,1,0,0
585736989,4.716357,0.0,0,0,1,0,1,0,0
586236989,4.716357,0.0,0,0,1,0,1,0,0
586746960,4.71958,0.0,0,0,1,0,1,0,0
587246960,4.7228026,0.0,0,0,1,0,1,0,0
587747004,4.714746,0.0,0,0,1,0,1,0,0
588246960,4.7228026,0.0,0,0,1,0,1,0,0
588746980,4.71958,0.0,0,0,1,0,1,0,0
589246960,4.716357,0.0,0,0,1,0,1,0,0
589746960,4.6970215,0.0,0,0,1,0,1,0,0
590247005,4.7228026,0.0,0,0,1,0,1,0,0
590746960,4.714746,0.0,0,0,1,0,1,0,0
591246976,4.709912,0.0,0,0,1,0,1,0,0
591756989,4.716357,0.0,0,0,1,0,1,0,0
592257017,4.703467,0.0,0,0,1,0,1,0,0
592757019,4.716357,0.0,0,0,1,0,1,0,0
593257011,4.709912,0.0,0,0,1,0,1,0,0
593757026,4.709912,0.0,0,0,1,0,1,0,0
594257050,4.6970215,0.0,0,0,1,0,1,0,0
594766970,4.6970215,0.0,0,0,1,0,1,0,0
595266974,4.729248,0.0,0,0,1,0,1,0,0
595766960,4.714746,0.0,0,0,1,0,1,0,0
596277012,4.716357,0.0,0,0,1,0,1,0,0
596777035,4.716357,0.0,0,0,1,0,1,0,0
597276989,4.716357,0.0,0,0,1,0,1,0,0
597777017,4.709912,0.0,0,0,1,0,1,0,0
598286976,4.703467,0.0,0,0,1,0,1,0,0
598786983,4.726025,0.0,0,0,1,0,1,0,0
599286960,4.7228026,0.0,0,0,1,0,1,0,0
599797020,4.7228026,0.0,0,0,1,0,1,0,0
600297010,4.7228026,0.0,0,0,1,0,1,0,0
600797011,4.6986327,0.0,0,0,1,0,1,0,0
601297012,4.7228026,0.0,0,0,1,0,1,0,0
601806960,4.7228026,0.0,0,0,1,0,1,0,0
602306983,4.71958,0.0,0,0,1,0,1,0,0
602806960,4.6970215,0.0,0,0,1,0,1,0,0
603307013,4.703467,0.0,0,0,1,0,1,0,0
603806980,4.716357,0.0,0,0,1,0,1,0,0
604306960,4.703467,0.0,0,0,1,0,1,0,0
604817023,4.716357,0.0,0,0,1,0,1,0,0
605317011,4.709912,0.0,0,0,1,0,1,0,0
605817011,4.6970215,0.0,0,0,1,0,1,0,0
606317011,4.724414,0.0,0,0,1,0,1,0,0
606817011,4.716357,0.0,0,0,1,0,1,0,0
607326986,4.716357,0.0,0,0,1,0,1,0,0
607826960,4.7228026,0.0,0,0,1,0,1,0,0
608327000,4.703467,0.0,0,0,1,0,1,0,0
608826969,4.7228026,0.0,0,0,1,0,1,0,0
609326960,4.716357,0.0,0,0,1,0,1,0,0
609826960,4.71958,0.0,0,0,1,0,1,0,0
610326960,4.6970215,0.0,0,0,1,0,1,0,0
610827032,4.7228026,0.0,0,0,1,0,1,0,0
611337011,4.71958,0.0,0,0,1,0,1,0,0
611837011,4.7228026,0.0,0,0,1,0,1,0,0
612337030,4.713135,0.0,0,0,1,0,1,0,0
612837011,4.6937985,0.0,0,0,1,0,1,0,0
613336989,4.71958,0.0,0,0,1,0,1,0,0
613846998,4.716357,0.0,0,0,1,0,1,0,0
614346964,4.709912,0.0,0,0,1,0,1,0,0
614846960,4.716357,0.0,0,0,1,0,1,0,0
615346974,4.6954103,0.0,0,0,1,0,1,0,0
615846960,4.71958,0.0,0,0,1,0,1,0,0
616346991,4.716357,0.0,0,0,1,0,1,0,0
616846963,4.716357,0.0,0,0,1,0,1,0,0
617346972,4.6970215,0.0,0,0,1,0,1,0,0
617857011,4.700244,0.0,0,0,1,0,1,0,0
618357012,4.714746,0.0,0,0,1,0,1,0,0
618857027,4.713135,0.0,0,0,1,0,1,0,0
619356989,4.709912,0.0,0,0,1,0,1,0,0
619866960,4.71958,0.0,0,0,1,0,1,0,0
620366981,4.703467,0.0,0,0,1,0,1,0,0
620866960,4.716357,0.0,0,0,1,0,1,0,0
621366979,4.709912,0.0,0,0,1,0,1,0,0
621866963,4.713135,0.0,0,0,1,0,1,0,0
622377086,4.716357,0.0,0,0,1,0,1,0,0
622877011,4.713135,0.0,0,0,1,0,1,0,0
623377011,4.703467,0.0,0,0,1,0,1,0,0
623877038,4.716357,0.0,0,0,1,0,1,0,0
624377010,4.716357,0.0,0,0,1,0,1,0,0
624876989,4.701855,0.0,0,0,1,0,1,0,0
625376989,4.714746,0.0,0,0,1,0,1,0,0
625876989,4.716357,0.0,0,0,1,0,1,0,0
626386978,4.713135,0.0,0,0,1,0,1,0,0
626886978,4.7066894,0.0,0,0,1,0,1,0,0
627386983,4.7066894,0.0,0,0,1,0,1,0,0
627886960,4.716357,0.0,0,0,1,0,1,0,0
628386960,4.71958,0.0,0,0,1,0,1,0,0
628887010,4.71958,0.0,0,0,1,0,1,0,0
629386967,4.6970215,0.0,0,0,1,0,1,0,0
629897012,4.716357,0.0,0,0,1,0,1,0,0
630396989,4.703467,0.0,0,0,1,0,1,0,0
630896989,4.716357,0.0,0,0,1,0,1,0,0
631406983,4.7228026,0.0,0,0,1,0,1,0,0
631906960,4.716357,0.0,0,0,1,0,1,0,0
632406969,4.716357,0.0,0,0,1,0,1,0,0
632906960,4.7066894,0.0,0,0,1,0,1,0,0
633406960,4.709912,0.0,0,0,1,0,1,0,0
633906977,4.713135,0.0,0,0,1,0,1,0,0
