timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
519054068,0.0009491574,-0.00075599545,-0.0024769623,0.97840273,0.011332079,0.011744503,0.20606247,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519086068,0.00053322455,-0.0002109203,-0.0005613123,0.97840506,0.011336367,0.011751129,0.20605107,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519118102,4.027039e-06,-0.00031521308,-0.00047254888,0.97840685,0.01134239,0.011746777,0.20604238,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519149272,0.0001043356,0.0003323799,-2.644118e-05,0.97840995,0.011333971,0.011751862,0.2060279,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519181272,0.00041154935,-0.0032063029,-0.0021651816,0.9784075,0.011336124,0.011754139,0.20603953,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519213272,-0.00042548287,-0.00011330133,-0.00035166182,0.97840375,0.011334122,0.011752978,0.20605722,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519245286,0.001072895,0.00021122926,-0.0028226282,0.9784083,0.011338155,0.011742425,0.20603627,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519277272,-0.0011686028,0.0024448698,-0.0022689013,0.97841436,0.011325889,0.011747542,0.20600754,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519309279,3.4227734e-05,0.00084632955,0.0006971825,0.9784153,0.011316836,0.011744532,0.2060038,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519337286,-0.00094062625,-0.0013784881,0.002510924,0.97840565,0.011320734,0.011745092,0.2060497,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519369279,0.0008895281,0.00075576856,0.0026052268,0.97839147,0.011321202,0.011739286,0.20611711,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519401282,0.002030709,0.000633333,0.000368041,0.9783845,0.011318847,0.01173544,0.20615052,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
519433278,0.0020168563,0.00084624486,-0.0036815458,0.97838736,0.011322333,0.011744916,0.20613588,0.99999934,2.0490073e-05,-3.0692918e-05,-0.0012289668,3
