timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
519048224,0.20367604,-0.10021137,0.37541804
519059751,0.20618352,-0.102035284,0.37555736
519072242,0.20578471,-0.09795099,0.3753926
519083836,0.20116855,-0.098387435,0.37527865
519096222,0.20869102,-0.10385919,0.37569675
519109277,0.20116855,-0.098387435,0.37527865
519123973,0.19905983,-0.10064787,0.37530407
519136223,0.20187956,-0.102687284,0.37828302
519151238,0.20618352,-0.102035284,0.37555736
519163046,0.20367604,-0.10021137,0.37541804
519175264,0.20578471,-0.09795099,0.3753926
519186811,0.20156734,-0.10247178,0.37544343
519199222,0.20618352,-0.102035284,0.37555736
519211228,0.20609696,-0.0981665,0.37823215
519222232,0.20869102,-0.10385919,0.37569675
519234489,0.20438705,-0.10451122,0.37842238
519247226,0.20398827,-0.100426905,0.37825757
519259229,0.20649576,-0.102250814,0.37839696
519271257,0.20627011,-0.105904065,0.3728826
519282751,0.20618352,-0.102035284,0.37555736
519295226,0.20367604,-0.10021137,0.37541804
519306510,0.19905983,-0.10064787,0.37530407
519319222,0.21361944,-0.103638254,0.37865025
519330646,0.20407484,-0.10429571,0.37558278
519343232,0.20869102,-0.10385919,0.37569675
519355222,0.21111192,-0.101814345,0.3785109
519366227,0.20358944,-0.096342586,0.37809277
519378720,0.20658232,-0.106119595,0.37572217
519391263,0.20438705,-0.10451122,0.37842238
519402949,0.20658232,-0.106119595,0.37572217
519415222,0.20367604,-0.10021137,0.37541804
519426501,0.20156734,-0.10247178,0.37544343
519439222,0.20367604,-0.10021137,0.37541804
519450540,0.21151075,-0.105898626,0.37867567
519463228,0.20367604,-0.10021137,0.37541804
519474267,0.20649576,-0.102250814,0.37839696
519485314,0.20860445,-0.099990435,0.3783715
519497866,0.21401824,-0.107722536,0.37881503
519510233,0.21111192,-0.101814345,0.3785109
519522232,0.20869102,-0.10385919,0.37569675
519533303,0.20869102,-0.10385919,0.37569675
519545731,0.20398827,-0.100426905,0.37825757
519557387,0.20116855,-0.098387435,0.37527865
519570226,0.21111192,-0.101814345,0.3785109
519582229,0.20327723,-0.09612708,0.3752532
519593710,0.20869102,-0.10385919,0.37569675
519606225,0.20367604,-0.10021137,0.37541804
519618150,0.20658232,-0.106119595,0.37572217
519630232,0.20900325,-0.104074724,0.3785363
519642291,0.20148078,-0.098602995,0.37811822
519653300,0.20649576,-0.102250814,0.37839696
519666227,0.20116855,-0.098387435,0.37527865
519677380,0.20367604,-0.10021137,0.37541804
519690222,0.20618352,-0.102035284,0.37555736
519701865,0.21330719,-0.10342272,0.37581065
519714222,0.20327723,-0.09612708,0.3752532
519726240,0.20829223,-0.0997749,0.37553194
519737865,0.21361944,-0.103638254,0.37865025
519750227,0.20618352,-0.102035284,0.37555736
519761914,0.21111192,-0.101814345,0.3785109
519774222,0.20860445,-0.099990435,0.3783715
519785884,0.20658232,-0.106119595,0.37572217
519798222,0.20116855,-0.098387435,0.37527865
519810223,0.20869102,-0.10385919,0.37569675
519821716,0.20187956,-0.102687284,0.37828302
519834228,0.2083788,-0.103643656,0.37285715
519845350,0.20618352,-0.102035284,0.37555736
519857295,0.20649576,-0.102250814,0.37839696
519870251,0.20900325,-0.104074724,0.3785363
519884639,0.20908982,-0.10794353,0.37586153
519897552,0.20829223,-0.0997749,0.37553194
519910234,0.20116855,-0.098387435,0.37527865
519924577,0.21581471,-0.10524663,0.37595
519937298,0.19937208,-0.1008634,0.37814367
519948618,0.20869102,-0.10385919,0.37569675
519961671,0.20658232,-0.106119595,0.37572217
519974225,0.19905983,-0.10064787,0.37530407
519987222,0.21119852,-0.1056831,0.3758361
520001669,0.20900325,-0.104074724,0.3785363
520014228,0.20829223,-0.0997749,0.37553194
520028415,0.20649576,-0.102250814,0.37839696
520042154,0.20829223,-0.0997749,0.37553194
520054263,0.20578471,-0.09795099,0.3753926
520068553,0.20869102,-0.10385919,0.37569675
520081656,0.20116855,-0.098387435,0.37527865
520094232,0.20618352,-0.102035284,0.37555736
520108561,0.21079972,-0.101598814,0.3756713
520122424,0.20869102,-0.10385919,0.37569675
520135228,0.20869102,-0.10385919,0.37569675
520148544,0.20156734,-0.10247178,0.37544343
520161685,0.20618352,-0.102035284,0.37555736
520174243,0.20407484,-0.10429571,0.37558278
520188596,0.20869102,-0.10385919,0.37569675
520202309,0.21401824,-0.107722536,0.37881503
520215229,0.20869102,-0.10385919,0.37569675
520228242,0.20829223,-0.0997749,0.37553194
520240526,0.21612695,-0.105462156,0.3787896
520253311,0.21119852,-0.1056831,0.3758361
520265336,0.19866104,-0.09656355,0.3751393
520278222,0.20578471,-0.09795099,0.3753926
520292267,0.20358944,-0.096342586,0.37809277
520304844,0.20658232,-0.106119595,0.37572217
520317227,0.20900325,-0.104074724,0.3785363
