timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
533639920,533629302,1200.0,0.34361058,0.8518723,1.2465699,0.0,42,190,6,0,0,0,0,1,1,1,36
533661512,533651532,1200.0,0.34361058,0.8518723,1.2465699,0.0,10,250,6,0,0,0,0,1,1,1,36
533723061,533716609,1200.0,0.34361058,0.8518723,1.2465699,0.0,218,0,6,4,0,0,0,1,1,1,36
534373654,0,5000.0,1.0,0.0,2.6024463,0.0,0,0,0,0,0,1,0,0,1,0,15
534647537,534642249,1200.0,0.34361058,0.9548074,1.3413247,0.0,42,190,6,0,0,0,0,1,1,1,36
534658248,534652650,1200.0,0.34361058,0.9548074,1.3413247,0.0,10,250,6,0,0,0,0,1,1,1,36
534770363,534766246,1200.0,0.34361058,0.9548074,1.3413247,0.0,218,0,6,4,0,0,0,1,1,1,36
535375786,0,5000.0,1.0,0.0,2.5379646,0.0,0,0,0,0,0,1,0,0,1,0,15
535643042,535638755,1200.0,0.34361058,0.8819763,1.8420649,0.0,42,190,6,0,0,0,0,1,1,1,36
535672521,535670177,1200.0,0.34361058,0.8819763,1.8420649,0.0,10,250,6,0,0,0,0,1,1,1,36
535796540,535788331,1200.0,0.34361058,0.8819763,1.8420649,0.0,218,0,6,4,0,0,0,1,1,1,36
536378356,0,5000.0,1.0,0.0,2.5802372,0.0,0,0,0,0,0,1,0,0,1,0,15
536653468,536650237,1200.0,0.34361058,0.88942915,1.3534791,0.0,10,250,6,0,0,0,0,1,1,1,36
536822698,536813374,1200.0,0.34361058,0.88942915,1.3534791,0.0,218,0,6,4,0,0,0,1,1,1,36
537381134,0,5000.0,1.0,0.0,2.5147674,0.0,0,0,0,0,0,1,0,0,1,0,15
537647459,537640358,1200.0,0.34361058,0.8682263,1.268564,0.0,42,190,6,0,0,0,0,1,1,1,36
537661649,537651247,1200.0,0.34361058,0.8682263,1.268564,0.0,10,250,6,0,0,0,0,1,1,1,36
537909995,537900350,1200.0,0.34361058,0.8682263,1.268564,0.0,218,0,6,4,0,0,0,1,1,1,36
538381379,0,5000.0,1.0,0.0,2.6083453,0.0,0,0,0,0,0,1,0,0,1,0,15
538646330,538644567,1200.0,0.34361058,0.7858334,1.3991425,0.0,42,190,6,0,0,0,0,1,1,1,36
538656566,538654388,1200.0,0.34361058,0.7858334,1.3991425,0.0,10,250,6,0,0,0,0,1,1,1,36
538939997,538939146,1200.0,0.34361058,0.84719276,1.2241638,0.0,218,0,6,4,0,0,0,1,1,1,36
539384828,0,5000.0,1.0,0.0,2.55561,0.0,0,0,0,0,0,1,0,0,1,0,15
539668334,539667243,1200.0,0.34361058,0.84719276,1.2241638,0.0,42,190,6,0,0,0,0,1,1,1,36
539978472,539970245,1200.0,0.34361058,0.8920225,1.4254481,0.0,218,0,6,4,0,0,0,1,1,1,36
540386503,0,5000.0,1.0,0.0,2.6034906,0.0,0,0,0,0,0,1,0,0,1,0,15
540661740,540655066,1200.0,0.34361058,0.8920225,1.4254481,0.0,42,190,6,0,0,0,0,1,1,1,36
541011546,541008247,1200.0,0.34361058,0.904178,1.4650478,0.0,218,0,6,4,0,0,0,1,1,1,36
541387609,0,5000.0,1.0,0.0,2.5400941,0.0,0,0,0,0,0,1,0,0,1,0,15
541646797,541641460,1200.0,0.34361058,0.904178,1.4650478,0.0,42,190,6,0,0,0,0,1,1,1,36
541657589,541651284,1200.0,0.34361058,0.904178,1.4650478,0.0,10,250,6,0,0,0,0,1,1,1,36
542098662,542098363,1200.0,0.34361058,0.86047924,1.3606886,0.0,218,0,6,4,0,0,0,1,1,1,36
542389593,0,5000.0,1.0,0.0,2.5609114,0.0,0,0,0,0,0,1,0,0,1,0,15
542660003,542652119,1200.0,0.34361058,0.86047924,1.3606886,0.0,10,250,6,0,0,0,0,1,1,1,36
542669480,542664292,1200.0,0.34361058,0.86047924,1.3606886,0.0,42,190,6,0,0,0,0,1,1,1,36
543133391,543124271,1200.0,0.34361058,0.91295284,1.3251257,0.0,218,0,6,4,0,0,0,1,1,1,36
543391270,0,5000.0,1.0,0.0,2.559531,0.0,0,0,0,0,0,1,0,0,1,0,15
543661568,543655460,1200.0,0.34361058,0.91295284,1.3251257,0.0,10,250,6,0,0,0,0,1,1,1,36
543671330,543668816,1200.0,0.34361058,0.91295284,1.3251257,0.0,42,190,6,0,0,0,0,1,1,1,36
544191223,544181295,1200.0,0.34361058,0.85474527,1.4245754,0.0,218,0,6,4,0,0,0,1,1,1,36
544391769,0,5000.0,1.0,0.0,2.5857303,0.0,0,0,0,0,0,1,0,0,1,0,15
544656811,544654155,1200.0,0.34361058,0.85474527,1.4245754,0.0,10,250,6,0,0,0,0,1,1,1,36
544688392,544680296,1200.0,0.34361058,0.85474527,1.4245754,0.0,42,190,6,0,0,0,0,1,1,1,36
545219330,545212640,1200.0,0.34361058,0.99527615,1.2797834,0.0,218,0,6,4,0,0,0,1,1,1,36
545393344,0,5000.0,1.0,0.0,2.5389833,0.0,0,0,0,0,0,1,0,0,1,0,15
545656768,545649592,1200.0,0.34361058,0.99527615,1.2797834,0.0,10,250,6,0,0,0,0,1,1,1,36
545666430,545659786,1200.0,0.34361058,0.99527615,1.2797834,0.0,42,190,6,0,0,0,0,1,1,1,36
546304612,546298790,1200.0,0.34361058,0.84156764,1.5823069,0.0,218,0,6,4,0,0,0,1,1,1,36
546396292,0,5000.0,1.0,0.0,2.5389833,0.0,0,0,0,0,0,1,0,0,1,0,15
546730653,546730327,1200.0,0.34361058,0.84156764,1.5823069,0.0,42,190,6,0,0,0,0,1,1,1,36
547331893,547326266,1200.0,0.34361058,0.8955683,1.261392,0.0,218,0,6,4,0,0,0,1,1,1,36
547396313,0,5000.0,1.0,0.0,2.6196976,0.0,0,0,0,0,0,1,0,0,1,0,15
547653547,547646251,1200.0,0.34361058,0.8955683,1.261392,0.0,10,250,6,0,0,0,0,1,1,1,36
547684002,547679759,1200.0,0.34361058,0.8955683,1.261392,0.0,42,190,6,0,0,0,0,1,1,1,36
548358381,548352410,1200.0,0.34361058,0.86862236,1.4058228,0.0,218,0,6,4,0,0,0,1,1,1,36
548398774,0,5000.0,1.0,0.0,2.583429,0.0,0,0,0,0,0,1,0,0,1,0,15
548659063,548655248,1200.0,0.34361058,0.86862236,1.4058228,0.0,10,250,6,0,0,0,0,1,1,1,36
548670387,548667757,1200.0,0.34361058,0.86862236,1.4058228,0.0,42,190,6,0,0,0,0,1,1,1,36
549400646,0,5000.0,1.0,0.0,2.5391777,0.0,0,0,0,0,0,1,0,0,1,0,15
549461487,549460304,1200.0,0.34361058,0.8652488,1.3216329,0.0,218,0,6,4,0,0,0,1,1,1,36
549657382,549655775,1200.0,0.34361058,0.8652488,1.3216329,0.0,10,250,6,0,0,0,0,1,1,1,36
549707798,549705300,1200.0,0.34361058,0.8652488,1.3216329,0.0,42,190,6,0,0,0,0,1,1,1,36
550402261,0,5000.0,1.0,0.0,2.5196843,0.0,0,0,0,0,0,1,0,0,1,0,15
550492031,550486243,1200.0,0.34361058,0.9752497,1.4957818,0.0,218,0,6,4,0,0,0,1,1,1,36
550655600,550651250,1200.0,0.34361058,0.9752497,1.4957818,0.0,10,250,6,0,0,0,0,1,1,1,36
550697906,550691260,1200.0,0.34361058,0.9752497,1.4957818,0.0,42,190,6,0,0,0,0,1,1,1,36
551403010,0,5000.0,1.0,0.0,2.6001651,0.0,0,0,0,0,0,1,0,0,1,0,15
551520669,551515030,1200.0,0.34361058,0.8673052,1.2374481,0.0,218,0,6,4,0,0,0,1,1,1,36
551663773,551660257,1200.0,0.34361058,0.8673052,1.2374481,0.0,10,250,6,0,0,0,0,1,1,1,36
551716533,551711531,1200.0,0.34361058,0.8673052,1.2374481,0.0,42,190,6,0,0,0,0,1,1,1,36
552404766,0,5000.0,1.0,0.0,2.5634205,0.0,0,0,0,0,0,1,0,0,1,0,15
552613493,552604545,1200.0,0.34361058,0.88105893,1.4750761,0.0,218,0,6,4,0,0,0,1,1,1,36
552669644,552664918,1200.0,0.34361058,0.88105893,1.4750761,0.0,10,250,6,0,0,0,0,1,1,1,36
552716276,552710255,1200.0,0.34361058,0.88105893,1.4750761,0.0,42,190,6,0,0,0,0,1,1,1,36
553406533,0,5000.0,1.0,0.0,2.562341,0.0,0,0,0,0,0,1,0,0,1,0,15
553640394,553638377,1200.0,0.34361058,0.9938033,1.4020256,0.0,218,0,6,4,0,0,0,1,1,1,36
553694408,553686518,1200.0,0.34361058,0.9938033,1.4020256,0.0,10,250,6,0,0,0,0,1,1,1,36
553718564,553711248,1200.0,0.34361058,0.9938033,1.4020256,0.0,42,190,6,0,0,0,0,1,1,1,36
554409168,0,5000.0,1.0,0.0,2.511269,0.0,0,0,0,0,0,1,0,0,1,0,15
554665639,554657514,1200.0,0.34361058,0.8332081,1.2641437,0.0,10,250,6,0,0,0,0,1,1,1,36
554697421,554690315,1200.0,0.34361058,0.8332081,1.2641437,0.0,42,190,6,0,0,0,0,1,1,1,36
554730285,554720560,1200.0,0.34361058,0.8332081,1.2641437,0.0,218,0,6,4,0,0,0,1,1,1,36
555410910,0,5000.0,1.0,0.0,2.6284163,0.0,0,0,0,0,0,1,0,0,1,0,15
555652057,555644346,1200.0,0.34361058,0.9468384,1.5925901,0.0,10,250,6,0,0,0,0,1,1,1,36
555701937,555694316,1200.0,0.34361058,0.9468384,1.5925901,0.0,42,190,6,0,0,0,0,1,1,1,36
555754204,555748069,1200.0,0.34361058,0.9468384,1.5925901,0.0,218,0,6,4,0,0,0,1,1,1,36
556411830,0,5000.0,1.0,0.0,2.5153544,0.0,0,0,0,0,0,1,0,0,1,0,15
556665667,556661428,1200.0,0.34361058,0.8207637,1.2869256,0.0,10,250,6,0,0,0,0,1,1,1,36
556697623,556691594,1200.0,0.34361058,0.8207637,1.2869256,0.0,42,190,6,0,0,0,0,1,1,1,36
556785456,556784312,1200.0,0.34361058,0.8207637,1.2869256,0.0,218,0,6,4,0,0,0,1,1,1,36
557412274,0,5000.0,1.0,0.0,2.590653,0.0,0,0,0,0,0,1,0,0,1,0,15
557657547,557651246,1200.0,0.34361058,0.90675396,1.2932392,0.0,10,250,6,0,0,0,0,1,1,1,36
557721977,557714285,1200.0,0.34361058,0.90675396,1.2932392,0.0,42,190,6,0,0,0,0,1,1,1,36
557858147,557851356,1200.0,0.34361058,0.90675396,1.2932392,0.0,218,0,6,4,0,0,0,1,1,1,36
558412331,0,5000.0,1.0,0.0,2.5190952,0.0,0,0,0,0,0,1,0,0,1,0,15
