timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
518947924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519164350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519372784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519574380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519778621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519981926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520183520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520386082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520588109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520789373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520991737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521195106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521396373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521599318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521802644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522006490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522209523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522412559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522615129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522819052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523019539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523221481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523423461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523626714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523830374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524032677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524235250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524436402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524639224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524842169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525047053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525248389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525450325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525652637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525854463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526059338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526261384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526464580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526670757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526874385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527077712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
